,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,locode,locomment,loccodeandcomment,loblank,uniq_op,uniq_opnd,total_op,total_opnd,branchcount,y
930,5.0,3.0,1.0,2.0,19.0,68.11,0.07,15.0,4.54,1021.71,0.02,56.76,5,0,0,0,10.0,2.0,13.0,6.0,5.0,0
626,5.0,1.0,1.0,1.0,22.0,81.41,0.23,4.29,19.0,348.9,0.03,19.38,5,0,0,1,6.0,7.0,12.0,10.0,1.0,0
582,83.0,20.0,15.0,7.0,325.0,2109.85,0.03,39.17,53.86,82648.01,0.7,4591.56,80,23,3,32,32.0,58.0,183.0,142.0,39.0,0
503,9.0,2.0,1.0,2.0,18.0,59.79,0.33,3.0,19.93,179.38,0.02,9.97,8,5,1,6,5.0,5.0,12.0,6.0,3.0,0
628,40.0,7.0,1.0,3.0,330.0,2001.81,0.03,32.98,60.7,66017.11,0.67,3667.62,40,18,0,10,20.0,47.0,175.0,155.0,12.0,0
493,12.0,3.0,1.0,3.0,22.0,85.95,0.22,4.5,19.1,386.78,0.03,21.49,9,2,3,5,9.0,6.0,16.0,6.0,4.0,0
160,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,2.0,0.0,1.0,0
501,17.0,3.0,1.0,3.0,63.0,315.0,0.1,9.72,32.4,3062.5,0.11,170.14,17,0,0,9,14.0,18.0,38.0,25.0,5.0,0
179,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,2.0,0.0,1.0,0
105,14.0,2.0,1.0,2.0,61.0,293.25,0.13,7.78,37.7,2280.82,0.1,126.71,14,8,0,9,10.0,18.0,33.0,28.0,3.0,0
413,50.0,10.0,5.0,7.0,351.0,2300.66,0.03,32.88,69.97,75642.93,0.77,4202.39,50,19,0,22,28.0,66.0,196.0,155.0,19.0,0
532,8.0,2.0,1.0,2.0,25.0,95.18,0.18,5.5,17.31,523.51,0.03,29.08,7,0,1,1,7.0,7.0,14.0,11.0,3.0,0
481,30.0,6.0,1.0,3.0,129.0,691.12,0.06,16.07,43.0,11109.18,0.23,617.18,27,5,3,13,14.0,27.0,67.0,62.0,11.0,0
491,3.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,3,3,0,1,4.0,3.0,4.0,3.0,1.0,0
724,6.0,1.0,1.0,1.0,14.0,50.19,0.33,3.0,16.73,150.57,0.02,8.36,6,0,0,0,6.0,6.0,8.0,6.0,1.0,0
182,23.0,3.0,1.0,3.0,100.0,495.42,0.08,13.2,37.53,6539.54,0.17,363.31,23,2,0,7,11.0,20.0,52.0,48.0,5.0,0
889,12.0,4.0,1.0,2.0,66.0,317.29,0.05,20.67,15.35,6557.23,0.11,364.29,12,0,0,0,16.0,12.0,35.0,31.0,7.0,0
355,44.0,11.0,3.0,8.0,324.0,2098.14,0.03,31.21,67.22,65489.41,0.7,3638.3,44,5,0,19,28.0,61.0,188.0,136.0,21.0,0
458,12.0,2.0,1.0,1.0,47.0,183.62,0.14,7.33,25.04,1346.57,0.06,74.81,11,2,1,3,6.0,9.0,25.0,22.0,3.0,0
156,35.0,7.0,5.0,7.0,148.0,843.67,0.06,15.62,54.02,13176.06,0.28,732.0,34,5,1,22,18.0,34.0,89.0,59.0,13.0,0
1091,15.0,2.0,1.0,2.0,57.0,279.69,0.06,16.5,16.95,4614.93,0.09,256.39,15,0,0,1,18.0,12.0,35.0,22.0,3.0,0
838,11.0,5.0,3.0,1.0,63.0,288.85,0.06,17.14,16.86,4949.88,0.1,274.99,10,0,1,0,13.0,11.0,34.0,29.0,9.0,0
682,7.0,2.0,1.0,2.0,23.0,85.11,0.1,10.13,8.41,861.74,0.03,47.87,7,0,0,0,9.0,4.0,14.0,9.0,3.0,0
480,12.0,3.0,1.0,3.0,22.0,85.95,0.22,4.5,19.1,386.78,0.03,21.49,11,0,1,5,9.0,6.0,16.0,6.0,4.0,0
175,7.0,1.0,1.0,1.0,28.0,114.45,0.24,4.2,27.25,480.69,0.04,26.7,7,9,0,6,7.0,10.0,16.0,12.0,1.0,0
203,13.0,3.0,1.0,3.0,50.0,219.62,0.09,10.91,20.13,2395.81,0.07,133.1,13,1,0,2,10.0,11.0,26.0,24.0,5.0,0
693,8.0,1.0,1.0,1.0,25.0,95.18,0.25,4.0,23.8,380.74,0.03,21.15,8,0,0,0,8.0,6.0,19.0,6.0,1.0,0
933,8.0,4.0,3.0,3.0,36.0,144.0,0.1,10.0,14.4,1440.0,0.05,80.0,8,0,0,1,10.0,6.0,24.0,12.0,7.0,0
824,10.0,1.0,1.0,1.0,42.0,175.14,0.11,9.38,18.68,1641.91,0.06,91.22,10,0,0,1,10.0,8.0,27.0,15.0,1.0,0
758,5.0,1.0,1.0,1.0,14.0,48.43,0.19,5.25,9.23,254.27,0.02,14.13,5,0,0,2,7.0,4.0,8.0,6.0,1.0,0
1049,9.0,1.0,1.0,1.0,49.0,211.77,0.06,16.71,12.67,3539.66,0.07,196.65,9,0,0,1,13.0,7.0,31.0,18.0,1.0,0
335,21.0,9.0,4.0,7.0,94.0,470.0,0.04,23.8,19.75,11186.0,0.16,621.44,18,0,3,2,17.0,15.0,52.0,42.0,15.0,0
699,9.0,4.0,4.0,1.0,28.0,100.38,0.07,13.5,7.44,1355.12,0.03,75.28,9,0,0,2,9.0,3.0,19.0,9.0,7.0,0
985,5.0,3.0,3.0,1.0,17.0,62.91,0.21,4.8,13.11,301.96,0.02,16.78,5,0,0,0,8.0,5.0,11.0,6.0,5.0,0
539,5.0,1.0,1.0,1.0,22.0,69.74,0.18,5.63,12.4,392.28,0.02,21.79,5,0,0,2,5.0,4.0,13.0,9.0,1.0,0
672,21.0,5.0,1.0,1.0,89.0,463.64,0.04,23.63,19.63,10953.53,0.15,608.53,19,7,2,9,21.0,16.0,53.0,36.0,9.0,0
752,22.0,1.0,1.0,1.0,161.0,894.29,0.21,4.76,187.8,4258.52,0.3,236.58,22,6,0,3,5.0,42.0,81.0,80.0,1.0,0
414,13.0,1.0,1.0,1.0,70.0,312.16,0.1,10.38,30.06,3241.66,0.1,180.09,13,0,0,6,9.0,13.0,40.0,30.0,1.0,0
585,7.0,1.0,1.0,1.0,16.0,55.35,0.24,4.2,13.18,232.47,0.02,12.92,7,0,0,3,6.0,5.0,9.0,7.0,1.0,0
621,10.0,1.0,1.0,1.0,22.0,85.95,0.17,6.0,14.33,515.71,0.03,28.65,10,0,0,1,9.0,6.0,14.0,8.0,1.0,0
635,5.0,2.0,1.0,2.0,26.0,114.2,0.12,8.13,14.06,927.88,0.04,51.55,5,0,0,2,13.0,8.0,16.0,10.0,3.0,0
980,10.0,3.0,3.0,2.0,51.0,250.25,0.09,11.0,22.75,2752.77,0.08,152.93,10,0,0,1,15.0,15.0,29.0,22.0,5.0,0
208,26.0,5.0,1.0,5.0,86.0,460.75,0.09,10.67,43.17,4917.61,0.15,273.2,26,18,0,14,15.0,26.0,49.0,37.0,9.0,0
946,6.0,4.0,4.0,1.0,32.0,135.93,0.1,9.63,14.12,1308.36,0.05,72.69,6,0,0,0,11.0,8.0,18.0,14.0,7.0,0
146,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,2.0,0.0,1.0,0
447,16.0,4.0,1.0,3.0,59.0,283.63,0.07,13.5,21.01,3829.06,0.09,212.73,16,3,0,0,14.0,14.0,32.0,27.0,7.0,0
419,5.0,1.0,1.0,1.0,8.0,20.68,0.5,2.0,10.34,41.36,0.01,2.3,5,0,0,1,4.0,2.0,6.0,2.0,1.0,0
89,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,2.0,0.0,1.0,0
82,14.0,7.0,1.0,2.0,82.0,430.33,0.07,14.55,29.59,6259.35,0.14,347.74,14,0,0,1,16.0,22.0,42.0,40.0,13.0,0
384,78.0,12.0,1.0,10.0,281.0,1728.08,0.03,39.72,43.51,68640.9,0.58,3813.38,76,3,2,16,28.0,43.0,159.0,122.0,19.0,0
1098,10.0,4.0,1.0,1.0,41.0,167.59,0.04,24.38,6.88,4084.91,0.06,226.94,10,0,0,1,13.0,4.0,26.0,15.0,7.0,0
459,36.0,5.0,1.0,5.0,115.0,631.56,0.07,14.07,44.89,8885.44,0.21,493.64,36,3,0,7,16.0,29.0,64.0,51.0,7.0,0
418,12.0,2.0,1.0,2.0,42.0,201.91,0.13,7.5,26.92,1514.32,0.07,84.13,11,1,1,4,12.0,16.0,22.0,20.0,3.0,0
473,51.0,12.0,10.0,9.0,272.0,1644.08,0.03,29.75,55.26,48911.24,0.55,2717.29,50,1,1,5,22.0,44.0,153.0,119.0,23.0,0
278,47.0,10.0,9.0,7.0,230.0,1414.44,0.06,15.9,88.97,22487.01,0.47,1249.28,47,15,0,18,17.0,54.0,129.0,101.0,19.0,0
432,9.0,1.0,1.0,1.0,64.0,276.6,0.17,6.0,46.1,1659.62,0.09,92.2,9,9,0,7,6.0,14.0,36.0,28.0,1.0,0
65,6.0,1.0,1.0,1.0,11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,6,0,0,0,4.0,5.0,6.0,5.0,1.0,1
76,27.0,7.0,1.0,4.0,94.0,506.88,0.05,21.45,23.63,10872.53,0.17,604.03,27,4,0,20,22.0,20.0,55.0,39.0,12.0,1
15,152.0,21.0,4.0,5.0,430.0,2850.62,0.03,33.3,85.6,94929.66,0.95,5273.87,150,62,2,39,26.0,73.0,243.0,187.0,41.0,1
45,61.0,7.0,1.0,4.0,304.0,1893.56,0.05,19.66,96.31,37229.33,0.63,2068.3,49,0,12,11,16.0,59.0,159.0,145.0,13.0,1
17,69.0,12.0,1.0,1.0,536.0,3745.93,0.04,23.38,160.24,87570.07,1.25,4865.0,68,15,1,17,21.0,106.0,300.0,236.0,23.0,1
57,84.0,9.0,1.0,3.0,876.0,6498.04,0.02,46.39,140.08,301439.38,2.17,16746.63,84,20,0,27,31.0,140.0,457.0,419.0,17.0,1
58,17.0,1.0,1.0,1.0,102.0,550.02,0.07,13.54,40.63,7446.38,0.18,413.69,16,9,1,12,16.0,26.0,58.0,44.0,1.0,1
49,93.0,17.0,4.0,12.0,409.0,2680.83,0.03,38.18,70.21,102358.84,0.89,5686.6,93,27,0,31,28.0,66.0,229.0,180.0,24.0,1
