,loc_blank,branch_count,call_pairs,loc_code_and_comment,loc_comments,condition_count,cyclomatic_complexity,cyclomatic_density,decision_count,decision_density,design_complexity,design_density,edge_count,essential_complexity,essential_density,loc_executable,parameter_count,halstead_content,halstead_difficulty,halstead_effort,halstead_error_est,halstead_length,halstead_level,halstead_prog_time,halstead_volume,maintenance_severity,modified_condition_count,multiple_condition_count,node_count,normalized_cylomatic_complexity,num_operands,num_operators,num_unique_operands,num_unique_operators,number_of_lines,percent_comments,loc_total,y
731,2,5,1,0,0,8,3,0.3,4,2.0,1,0.33,11,1,0.0,10,1,10.25,21.0,4519.69,0.07,49,0.05,251.09,215.22,0.33,2,4,10,0.23,21,28,7,14,13,0.0,10,0
772,1,19,10,0,0,16,13,0.3,8,2.0,9,0.69,51,3,0.17,43,1,47.44,23.4,25974.0,0.37,185,0.04,1443.0,1110.0,0.23,4,8,40,0.29,78,107,40,24,45,0.0,43,0
1306,6,1,1,0,4,0,1,0.33,0,0.0,1,1.0,2,1,0.0,3,0,10.28,4.38,196.76,0.01,13,0.23,10.93,44.97,1.0,0,0,3,0.07,5,8,4,7,14,57.14,3,0
1467,2,1,1,0,0,0,1,0.13,0,0.0,1,1.0,2,1,0.0,8,0,17.77,4.5,359.8,0.03,21,0.22,19.99,79.95,1.0,0,0,3,0.09,9,12,7,7,11,0.0,8,0
796,4,5,1,0,0,8,3,0.43,4,2.0,1,0.33,12,1,0.0,7,2,13.18,14.0,2582.68,0.06,42,0.07,143.48,184.48,0.33,2,4,11,0.25,21,21,9,12,12,0.0,7,0
644,0,3,2,0,0,4,2,0.22,2,2.0,2,1.0,8,1,0.0,9,2,16.25,8.89,1283.82,0.05,34,0.11,71.32,144.43,0.5,1,2,8,0.2,16,18,9,10,10,0.0,9,0
591,7,7,3,0,14,12,4,0.18,6,2.0,3,0.75,16,1,0.0,22,2,28.85,9.71,2717.65,0.09,56,0.1,150.98,280.0,0.25,3,6,14,0.09,22,34,17,15,44,38.89,22,0
345,1,7,1,0,0,12,4,0.4,6,2.0,3,0.75,16,1,0.0,10,0,11.9,21.72,5615.72,0.09,55,0.05,311.98,258.51,0.25,3,6,14,0.33,23,32,9,17,12,0.0,10,0
1458,4,3,3,0,0,4,2,0.33,2,2.0,2,1.0,7,1,0.0,6,2,23.63,6.0,850.66,0.05,34,0.17,47.26,141.78,0.5,1,2,7,0.18,15,19,10,8,11,0.0,6,0
1517,10,13,2,2,5,22,7,0.39,10,2.2,3,0.43,22,1,0.0,16,3,42.41,15.45,10128.75,0.22,124,0.06,562.71,655.39,0.14,6,11,17,0.21,40,84,22,17,34,30.43,18,0
1557,1,13,4,0,1,16,7,0.47,4,4.0,6,0.86,21,7,1.0,15,0,26.3,11.7,3599.75,0.1,64,0.09,199.99,307.67,1.0,6,8,16,0.39,27,37,15,13,18,6.25,15,0
1352,56,71,13,42,24,140,36,0.26,70,2.0,17,0.47,181,1,0.0,99,0,79.48,89.75,640223.79,2.38,1056,0.01,35567.99,7133.16,0.03,35,70,147,0.16,489,567,79,29,230,40.0,141,0
666,7,5,2,2,4,8,3,0.3,4,2.0,3,1.0,11,1,0.0,8,1,17.81,11.08,2188.05,0.07,42,0.09,121.56,197.42,0.33,2,4,10,0.14,19,23,12,14,22,42.86,10,0
723,50,22,3,7,6,20,15,0.17,8,2.5,8,0.53,46,7,0.43,79,1,48.32,49.43,118064.59,0.8,391,0.02,6559.14,2388.43,0.47,6,10,33,0.1,174,217,44,25,143,14.13,86,0
1100,2,5,3,0,0,8,3,0.27,4,2.0,3,1.0,10,1,0.0,11,3,18.35,8.33,1274.38,0.05,36,0.12,70.8,152.93,0.33,2,4,9,0.21,15,21,9,10,14,0.0,11,0
650,5,1,3,0,3,0,1,0.1,0,0.0,1,1.0,4,1,0.0,10,1,26.65,6.0,959.47,0.05,37,0.17,53.3,159.91,1.0,0,0,5,0.05,18,19,12,8,19,23.08,10,0
558,1,3,2,0,0,4,2,0.33,2,2.0,1,0.5,7,1,0.0,6,2,15.9,6.43,656.91,0.03,25,0.16,36.5,102.19,0.5,1,2,7,0.25,9,16,7,10,8,0.0,6,0
1444,0,1,1,0,0,0,1,0.17,0,0.0,1,1.0,2,1,0.0,6,1,8.51,8.0,544.91,0.02,19,0.13,30.27,68.11,1.0,0,0,3,0.14,8,11,4,8,7,0.0,6,0
1078,0,3,0,0,0,6,2,0.67,2,3.0,1,0.5,5,1,0.0,3,0,10.28,4.38,196.76,0.01,13,0.23,10.93,44.97,0.5,2,3,5,0.5,5,8,4,7,4,0.0,3,0
627,16,7,1,0,9,12,4,0.31,6,2.0,1,0.25,16,1,0.0,13,0,24.0,22.5,12150.0,0.18,108,0.04,675.0,540.0,0.25,3,6,14,0.1,51,57,17,15,39,40.91,13,0
327,1,84,0,1,0,140,47,0.75,68,2.06,1,0.02,153,5,0.09,62,1,51.11,52.22,139356.3,0.89,450,0.02,7742.02,2668.83,0.11,36,70,108,0.72,161,289,37,24,65,1.59,63,0
163,11,9,4,0,1,16,5,0.38,8,2.0,2,0.4,21,1,0.0,13,1,39.26,6.75,1788.56,0.09,54,0.15,99.36,264.97,0.2,4,8,18,0.19,27,27,20,10,26,7.14,13,0
1272,7,3,2,0,1,4,2,0.14,2,2.0,1,0.5,8,1,0.0,14,0,25.61,9.43,2276.82,0.08,52,0.11,126.49,241.48,0.5,1,2,8,0.09,24,28,14,11,23,6.67,14,0
1558,6,3,3,0,8,4,2,0.4,2,2.0,2,1.0,7,1,0.0,5,1,28.99,5.54,889.14,0.05,36,0.18,49.4,160.54,0.5,1,2,7,0.1,16,20,13,9,20,61.54,5,0
1026,0,3,0,0,0,4,2,0.5,2,2.0,1,0.5,5,1,0.0,4,1,11.82,8.8,915.2,0.03,26,0.11,50.84,104.0,0.5,1,2,5,0.4,8,18,5,11,5,0.0,4,0
155,13,9,0,0,5,16,5,0.22,8,2.0,1,0.2,18,5,1.0,23,0,28.71,23.33,15633.33,0.22,134,0.04,868.52,670.0,1.0,4,8,15,0.12,60,74,18,14,42,17.86,23,0
187,21,13,5,8,23,24,7,0.26,12,2.0,5,0.71,31,1,0.0,19,0,53.3,10.61,6003.3,0.19,103,0.09,333.52,565.66,0.14,6,12,26,0.1,47,56,31,14,72,62.0,27,0
837,6,3,0,0,28,4,2,0.17,2,2.0,1,0.5,5,1,0.0,12,1,18.46,16.91,5277.76,0.1,69,0.06,293.21,312.13,0.5,1,2,5,0.04,31,38,11,12,47,70.0,12,0
1430,4,11,2,0,0,18,6,0.32,8,2.25,2,0.33,21,3,0.4,19,0,17.53,23.33,9541.89,0.14,87,0.04,530.11,408.94,0.5,5,9,17,0.25,40,47,12,14,24,0.0,19,0
452,2,11,1,0,0,18,6,0.67,8,2.25,3,0.5,23,3,0.4,9,2,10.61,23.21,5718.84,0.08,57,0.04,317.71,246.35,0.5,5,9,19,0.5,25,32,7,13,12,0.0,9,0
751,5,7,1,1,3,10,4,0.24,4,2.5,1,0.25,13,1,0.0,16,2,34.78,14.04,6856.63,0.16,90,0.07,380.92,488.36,0.25,3,5,11,0.15,39,51,25,18,26,20.0,17,0
614,36,27,1,11,24,44,14,0.26,18,2.44,1,0.07,51,11,0.77,43,1,32.58,37.08,44807.95,0.4,209,0.03,2489.33,1208.3,0.79,13,22,39,0.12,89,120,30,25,115,44.87,54,0
950,9,1,0,0,0,0,1,0.08,0,0.0,1,1.0,1,1,0.0,12,2,16.67,9.43,1481.92,0.05,37,0.11,82.33,157.17,1.0,0,0,2,0.05,11,26,7,12,22,0.0,12,0
57,10,1,1,0,21,0,1,0.11,0,0.0,1,1.0,8,1,0.0,9,1,48.36,7.78,2925.63,0.13,81,0.13,162.53,376.15,1.0,0,0,9,0.02,40,41,18,7,41,70.0,9,0
1239,0,3,1,0,0,4,2,0.5,2,2.0,2,1.0,6,1,0.0,4,1,9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,0.5,1,2,6,0.4,3,6,3,6,5,0.0,4,0
1005,0,3,2,0,0,4,2,0.17,2,2.0,2,1.0,9,1,0.0,12,3,16.73,11.0,2024.0,0.06,46,0.09,112.44,184.0,0.5,1,2,9,0.15,22,24,8,8,13,0.0,12,0
148,1,7,3,0,0,10,4,0.36,4,2.5,2,0.5,14,3,0.67,11,1,24.61,12.71,3973.8,0.1,62,0.08,220.77,312.75,0.75,3,5,12,0.31,27,35,17,16,13,0.0,11,0
1136,0,1,1,0,0,0,1,0.2,0,0.0,1,1.0,2,1,0.0,5,2,12.29,3.5,150.57,0.01,12,0.29,8.36,43.02,1.0,0,0,3,0.17,5,7,5,7,6,0.0,5,0
256,6,3,3,0,0,4,2,0.2,2,2.0,2,1.0,9,1,0.0,10,1,28.55,8.0,1827.2,0.08,52,0.13,101.51,228.4,0.5,1,2,9,0.12,26,26,13,8,17,0.0,10,0
570,13,7,2,4,0,10,4,0.22,4,2.5,3,0.75,13,3,0.67,14,1,31.36,10.11,3205.92,0.11,64,0.1,178.11,317.07,0.75,3,5,11,0.13,28,36,18,13,32,22.22,18,0
821,1,7,1,1,0,12,4,0.22,6,2.0,2,0.5,15,3,0.67,17,2,18.31,14.77,3996.21,0.09,59,0.07,222.01,270.51,0.75,3,6,13,0.2,25,34,11,13,20,5.56,18,0
100,1,1,0,0,0,0,1,0.2,0,0.0,1,1.0,1,1,0.0,5,1,10.44,3.5,127.89,0.01,11,0.29,7.11,36.54,1.0,0,0,2,0.14,3,8,3,7,7,0.0,5,0
486,4,13,2,0,3,24,7,0.19,12,2.0,7,1.0,37,1,0.0,36,2,33.06,25.74,21902.71,0.28,161,0.04,1216.82,850.95,0.14,6,12,32,0.16,74,87,23,16,44,7.69,36,0
930,4,1,2,0,0,0,1,0.13,0,0.0,1,1.0,3,1,0.0,8,0,32.47,8.36,2268.24,0.09,60,0.12,126.01,271.41,1.0,0,0,4,0.08,26,34,14,9,13,0.0,8,0
1115,23,18,8,6,11,22,10,0.22,8,2.75,7,0.7,36,7,0.67,40,0,49.69,15.32,11670.05,0.25,130,0.07,648.34,761.54,0.7,7,11,28,0.12,54,76,37,21,81,29.82,46,0
626,3,3,0,0,1,4,2,0.4,2,2.0,1,0.5,6,1,0.0,5,2,10.41,6.4,426.29,0.02,18,0.16,23.68,66.61,0.5,1,2,6,0.2,8,10,5,8,10,16.67,5,0
582,1,9,3,0,1,14,5,0.36,6,2.33,3,0.6,19,3,0.5,14,1,27.69,10.11,2831.11,0.09,56,0.1,157.28,280.0,0.6,4,7,16,0.29,26,30,18,14,17,6.67,14,0
503,2,1,1,0,0,0,1,0.5,0,0.0,1,1.0,2,1,0.0,2,1,9.83,2.0,39.3,0.01,7,0.5,2.18,19.65,1.0,0,0,3,0.2,3,4,3,4,5,0.0,2,0
628,1,1,0,0,0,0,1,0.5,0,0.0,1,1.0,1,1,0.0,2,3,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0,0,2,0.25,0,1,0,1,4,0.0,2,0
493,0,1,1,0,0,0,1,0.14,0,0.0,1,1.0,2,1,0.0,7,1,20.09,3.5,246.13,0.02,18,0.29,13.67,70.32,1.0,0,0,3,0.13,8,10,8,7,8,0.0,7,0
501,25,9,1,7,9,16,5,0.21,8,2.0,2,0.4,19,1,0.0,17,0,32.11,15.3,7522.74,0.16,93,0.07,417.93,491.54,0.2,4,8,16,0.08,44,49,23,16,59,48.48,24,0
179,22,12,9,6,33,12,7,0.22,6,2.0,6,0.86,30,1,0.0,26,0,42.74,11.03,5204.26,0.16,84,0.09,289.13,471.64,0.14,3,6,25,0.08,32,52,29,20,88,60.0,32,0
1221,3,19,7,0,0,36,10,0.33,18,2.0,10,1.0,47,5,0.44,30,2,43.84,22.75,22691.4,0.33,171,0.04,1260.63,997.42,0.5,9,18,39,0.29,78,93,36,21,34,0.0,30,0
105,4,3,0,0,0,4,2,0.29,2,2.0,1,0.5,7,1,0.0,7,0,13.74,10.63,1550.69,0.05,35,0.09,86.15,145.95,0.5,1,2,7,0.17,17,18,8,10,12,0.0,7,0
413,0,1,0,1,2,0,1,0.2,0,0.0,1,1.0,1,1,0.0,4,0,11.41,7.5,641.91,0.03,27,0.13,35.66,85.59,1.0,0,0,2,0.13,12,15,4,5,8,42.86,5,0
724,6,7,1,2,0,10,4,0.25,4,2.5,2,0.5,11,1,0.0,14,0,20.83,12.0,2999.79,0.08,52,0.08,166.65,249.98,0.25,3,5,9,0.17,24,28,14,14,23,12.5,16,0
1207,6,3,4,2,5,4,2,0.08,2,2.0,2,1.0,14,1,0.0,22,3,53.06,13.85,10172.91,0.24,140,0.07,565.16,734.71,0.5,1,2,14,0.06,60,80,26,12,36,24.14,24,0
889,4,1,0,0,0,0,1,0.09,0,0.0,1,1.0,1,1,0.0,11,3,16.12,31.5,16002.0,0.17,127,0.03,889.0,508.0,1.0,0,0,2,0.06,63,64,8,8,16,0.0,11,0
355,11,5,4,6,16,8,3,0.09,4,2.0,2,0.67,20,1,0.0,26,0,31.15,17.15,9161.25,0.18,105,0.06,508.96,534.18,0.33,2,4,19,0.05,49,56,20,14,60,45.83,32,0
1108,2,15,1,0,0,24,8,0.33,10,2.4,2,0.25,27,7,0.86,24,3,10.04,45.0,20327.14,0.15,95,0.02,1129.29,451.71,0.88,7,12,21,0.3,45,50,9,18,27,0.0,24,0
458,0,1,1,0,0,0,1,0.33,0,0.0,1,1.0,2,1,0.0,3,1,9.83,2.0,39.3,0.01,7,0.5,2.18,19.65,1.0,0,0,3,0.25,3,4,3,4,4,0.0,3,0
156,0,3,0,0,0,4,2,1.0,2,2.0,1,0.5,6,1,0.0,0,1,9.51,4.0,152.16,0.01,12,0.25,8.45,38.04,0.5,1,2,6,2.0,4,8,3,6,1,0.0,0,0
1530,0,1,0,0,0,0,1,0.25,0,0.0,1,1.0,1,1,0.0,4,2,5.8,2.0,23.22,0.0,5,0.5,1.29,11.61,1.0,0,0,2,0.2,1,4,1,4,5,0.0,4,0
838,23,13,7,2,25,22,7,0.2,10,2.2,6,0.86,31,3,0.33,33,1,42.89,21.47,19769.73,0.31,160,0.05,1098.32,920.78,0.43,6,11,26,0.08,73,87,34,20,84,45.0,35,0
1222,6,5,3,1,1,8,3,0.23,4,2.0,2,0.67,11,1,0.0,12,2,25.16,11.2,3155.74,0.09,58,0.09,175.32,281.76,0.33,2,4,10,0.14,24,34,15,14,21,14.29,13,0
682,0,1,1,0,0,0,1,0.33,0,0.0,1,1.0,2,1,0.0,3,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,3,0.25,1,3,1,3,4,0.0,3,0
480,2,1,0,0,0,0,1,0.2,0,0.0,1,1.0,1,1,0.0,5,2,20.49,8.57,1505.68,0.06,49,0.12,83.65,175.66,1.0,0,0,2,0.13,24,25,7,5,8,0.0,5,0
175,14,11,12,0,50,20,6,0.1,10,2.0,4,0.67,34,1,0.0,58,1,182.36,5.4,5311.46,0.33,159,0.19,295.08,984.18,0.17,5,10,30,0.04,68,91,63,10,142,46.3,58,0
1333,10,17,1,0,3,30,9,0.3,14,2.14,5,0.56,31,7,0.75,30,0,44.42,9.42,3946.1,0.14,83,0.11,219.23,418.68,0.78,8,15,24,0.2,29,54,20,13,44,9.09,30,0
203,3,5,1,2,0,4,3,0.17,2,2.0,2,0.67,9,3,1.0,16,1,26.3,10.45,2872.09,0.09,52,0.1,159.56,274.84,1.0,1,2,8,0.04,22,30,20,19,80,11.11,18,0
693,4,29,9,3,0,56,15,0.29,28,2.0,12,0.8,71,9,0.57,49,5,53.89,38.73,80812.65,0.7,334,0.03,4489.59,2086.81,0.6,14,28,58,0.26,158,176,51,25,57,5.77,52,0
1395,4,5,1,0,0,8,3,0.33,4,2.0,2,0.67,8,1,0.0,9,2,23.64,9.31,2048.42,0.07,48,0.11,113.8,220.08,0.33,2,4,7,0.21,22,26,13,11,14,0.0,9,0
1269,2,7,1,0,0,12,4,0.36,6,2.0,2,0.5,14,3,0.67,11,3,13.39,14.22,2707.88,0.06,41,0.07,150.44,190.4,0.75,3,6,12,0.29,16,25,9,16,14,0.0,11,0
1227,2,1,2,0,5,0,1,0.2,0,0.0,1,1.0,3,1,0.0,5,0,9.25,4.67,201.53,0.01,13,0.21,11.2,43.19,1.0,0,0,4,0.08,4,9,3,7,13,50.0,5,0
933,4,3,4,0,14,4,2,0.2,2,2.0,2,1.0,8,1,0.0,10,0,20.51,4.57,428.64,0.03,24,0.22,23.81,93.77,0.5,1,2,8,0.07,8,16,7,8,29,58.33,10,0
1324,1,3,1,0,0,4,2,0.33,2,2.0,2,1.0,7,1,0.0,6,3,11.15,9.17,936.71,0.03,25,0.11,52.04,102.19,0.5,1,2,7,0.25,10,15,6,11,8,0.0,6,0
1515,1,16,0,5,0,12,12,0.26,6,2.0,1,0.08,34,6,0.45,41,4,29.35,33.5,32937.0,0.33,178,0.03,1829.83,983.19,0.5,3,6,24,0.25,67,111,23,23,48,10.87,46,0
1504,4,19,2,0,0,28,10,0.83,10,2.8,9,0.9,33,1,0.0,12,0,17.25,32.88,18654.39,0.19,118,0.03,1036.34,567.27,0.1,9,14,25,0.59,57,61,13,15,17,0.0,12,0
824,1,1,0,1,0,0,1,0.17,0,0.0,1,1.0,1,1,0.0,5,1,24.42,5.0,610.57,0.04,33,0.2,33.92,122.11,1.0,0,0,2,0.13,16,17,8,5,8,16.67,6,0
1249,1,5,3,0,0,8,3,0.38,4,2.0,3,1.0,11,1,0.0,8,2,18.89,5.63,597.79,0.04,26,0.18,33.21,106.27,0.33,2,4,10,0.3,10,16,8,9,10,0.0,8,0
758,9,3,3,0,1,4,2,0.11,2,2.0,2,1.0,8,1,0.0,18,0,64.0,8.03,4132.74,0.17,98,0.12,229.6,514.29,0.5,1,2,8,0.03,45,53,28,10,67,5.26,18,0
1049,0,3,0,0,1,4,2,0.29,2,2.0,1,0.5,6,1,0.0,7,5,16.82,8.33,1168.18,0.05,33,0.12,64.9,140.18,0.5,1,2,6,0.22,15,18,9,10,9,12.5,7,0
335,16,19,8,10,6,16,11,0.22,6,2.67,8,0.73,35,5,0.4,39,0,51.55,14.14,10311.72,0.24,125,0.07,572.87,729.11,0.45,5,8,26,0.15,45,80,35,22,72,29.09,49,0
699,8,1,4,0,0,0,1,0.04,0,0.0,1,1.0,5,1,0.0,26,1,76.18,11.32,9767.57,0.29,158,0.09,542.64,862.59,1.0,0,0,6,0.03,77,81,34,10,35,0.0,26,0
985,0,1,1,0,0,0,1,0.14,0,0.0,1,1.0,2,1,0.0,7,1,17.41,3.5,213.21,0.02,16,0.29,11.85,60.92,1.0,0,0,3,0.13,7,9,7,7,8,0.0,7,0
539,7,9,1,2,0,14,5,0.56,6,2.33,2,0.4,14,4,0.75,7,0,13.09,18.67,4559.75,0.08,54,0.05,253.32,244.27,0.8,4,7,11,0.29,24,30,9,14,17,22.22,9,0
1134,0,5,3,0,0,8,3,0.43,4,2.0,3,1.0,15,1,0.0,7,0,17.66,11.5,2336.0,0.07,47,0.09,129.78,203.13,0.33,2,4,14,0.38,23,24,10,10,8,0.0,7,0
672,4,3,0,1,0,4,2,0.29,2,2.0,1,0.5,5,1,0.0,6,1,21.76,5.25,599.66,0.04,30,0.19,33.31,114.22,0.5,1,2,5,0.17,14,16,8,6,12,14.29,7,0
752,4,1,3,0,6,0,1,0.13,0,0.0,1,1.0,5,1,0.0,8,0,24.22,5.0,605.57,0.04,31,0.2,33.64,121.11,1.0,0,0,6,0.05,15,16,9,6,19,42.86,8,0
585,13,7,0,3,0,12,4,0.31,6,2.0,1,0.25,12,1,0.0,10,2,22.96,13.59,4242.8,0.1,63,0.07,235.71,312.11,0.25,3,6,10,0.15,29,34,16,15,27,23.08,13,0
621,2,1,1,0,0,0,1,0.5,0,0.0,1,1.0,2,1,0.0,2,1,9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,1.0,0,0,3,0.2,3,6,3,6,5,0.0,2,0
635,4,3,0,1,1,4,2,0.29,2,2.0,1,0.5,5,1,0.0,6,2,14.14,5.25,389.71,0.02,19,0.19,21.65,74.23,0.5,1,2,5,0.15,7,12,6,9,13,25.0,7,0
1158,7,13,2,4,1,18,7,0.29,6,3.0,4,0.57,19,5,0.67,20,1,24.63,17.41,7465.7,0.14,85,0.06,414.76,428.77,0.71,6,11,14,0.21,37,48,17,16,33,20.0,24,0
980,1,3,0,0,0,4,2,0.29,2,2.0,1,0.5,5,1,0.0,7,1,14.51,4.2,255.97,0.02,17,0.24,14.22,60.94,0.5,1,2,5,0.22,6,11,5,7,9,0.0,7,0
208,16,12,6,6,13,16,7,0.2,8,2.0,6,0.86,27,1,0.0,29,0,48.73,13.64,9060.53,0.22,116,0.07,503.36,664.44,0.14,4,8,22,0.11,45,71,33,20,65,39.58,35,0
946,1,5,2,0,0,8,3,0.25,4,2.0,3,1.0,12,1,0.0,12,0,19.74,9.9,1934.51,0.07,46,0.1,107.47,195.4,0.33,2,4,11,0.21,22,24,10,9,14,0.0,12,0
146,0,5,1,0,0,8,3,0.38,4,2.0,3,1.0,15,1,0.0,8,0,17.84,12.0,2568.63,0.07,48,0.08,142.7,214.05,0.33,2,4,14,0.33,24,24,11,11,9,0.0,8,0
1376,8,3,3,1,1,4,2,0.2,2,2.0,2,1.0,7,1,0.0,9,2,24.89,7.0,1219.6,0.06,38,0.14,67.76,174.23,0.5,1,2,7,0.1,14,24,12,12,20,18.18,10,0
447,1,1,2,0,0,0,1,0.11,0,0.0,1,1.0,3,1,0.0,9,1,13.68,9.63,1267.48,0.04,31,0.1,70.42,131.69,1.0,0,0,4,0.09,14,17,8,11,11,0.0,9,0
1143,2,1,2,0,0,0,1,0.25,0,0.0,1,1.0,3,1,0.0,4,2,16.98,2.8,133.14,0.02,15,0.36,7.4,47.55,1.0,0,0,4,0.14,7,8,5,4,7,0.0,4,0
1441,0,1,1,0,0,0,1,0.25,0,0.0,1,1.0,2,1,0.0,4,2,12.95,4.0,207.22,0.02,14,0.25,11.51,51.81,1.0,0,0,3,0.2,5,9,5,8,5,0.0,4,0
419,11,13,4,4,8,24,7,0.18,12,2.0,3,0.43,31,1,0.0,36,1,38.26,27.7,29360.62,0.35,178,0.04,1631.15,1059.85,0.14,6,12,26,0.12,82,96,37,25,60,25.0,40,0
1124,4,1,3,0,10,0,1,0.17,0,0.0,1,1.0,4,1,0.0,6,0,19.19,3.86,285.46,0.02,20,0.26,15.86,74.01,1.0,0,0,5,0.05,9,11,7,6,21,62.5,6,0
1315,0,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0.0,0,0,0.0,0.0,0.0,0.0,2,0.0,0.0,2.0,1.0,0,0,2,1.0,0,2,0,2,1,0.0,0,0
