,v1,v2,v3,v4,y
268,4,7,1750,82,1
594,5,11,2750,75,1
448,23,8,2000,64,1
46,2,9,2250,36,1
398,16,8,2000,76,1
52,2,6,1500,22,1
307,11,3,750,23,1
143,4,3,750,16,1
728,21,1,250,21,1
260,4,4,1000,41,1
308,16,4,1000,23,1
744,21,2,500,52,1
380,14,1,250,14,1
701,16,1,250,16,1
676,14,3,750,26,1
623,11,6,1500,28,1
118,1,7,1750,57,1
21,4,11,2750,28,1
438,23,14,3500,93,1
336,11,3,750,28,1
440,16,3,750,46,1
48,2,2,500,2,1
149,2,2,500,11,1
200,4,6,1500,52,1
541,2,10,2500,52,1
190,4,7,1750,52,1
427,14,5,1250,74,1
293,11,5,1250,35,1
442,11,2,500,52,1
726,25,6,1500,50,1
236,11,3,750,15,1
498,40,1,250,40,1
132,2,2,500,10,1
94,12,11,2750,23,1
272,7,2,500,16,1
565,2,9,2250,75,1
703,16,1,250,16,1
230,4,1,250,4,1
471,23,3,750,40,1
479,23,1,250,23,1
285,11,2,500,14,1
152,4,11,2750,78,1
409,16,1,250,16,1
746,39,1,250,39,1
421,16,2,500,27,1
607,2,7,1750,77,1
364,11,6,1500,71,1
449,16,3,750,50,1
588,2,1,250,2,1
587,2,1,250,2,1
718,21,3,750,35,1
590,2,1,250,2,1
496,38,1,250,38,1
73,2,2,500,4,1
444,23,12,3000,86,1
124,2,4,1000,26,1
374,14,4,1000,40,1
266,3,2,500,23,1
249,11,2,500,11,1
569,2,6,1500,45,1
599,12,11,2750,39,1
212,4,1,250,4,1
92,4,2,500,4,1
295,2,4,1000,70,1
166,2,1,250,2,1
431,9,2,500,52,1
361,11,2,500,24,1
507,2,11,2750,23,1
62,2,10,2500,49,1
199,9,9,2250,45,1
264,4,5,1250,58,1
348,11,1,250,11,1
206,2,2,500,16,1
159,2,1,250,2,1
709,21,6,1500,48,1
107,3,5,1250,26,1
247,7,12,3000,86,1
378,14,1,250,14,1
24,9,9,2250,16,1
392,4,2,500,59,1
515,4,6,1500,14,1
387,14,1,250,14,1
383,14,1,250,14,1
404,14,5,1250,64,1
422,21,2,500,23,1
306,4,5,1250,74,1
330,14,7,1750,47,1
386,14,1,250,14,1
322,11,4,1000,34,1
47,2,2,500,2,1
170,2,1,250,2,1
185,11,9,2250,33,1
620,4,7,1750,62,1
638,11,4,1000,27,1
315,4,2,500,29,1
641,7,5,1250,52,1
137,2,12,3000,98,1
583,2,1,250,2,1
347,11,1,250,11,1
43,2,5,1250,16,1
346,11,1,250,11,1
629,7,11,2750,89,1
234,14,7,1750,26,1
690,14,1,250,14,1
191,4,7,1750,52,1
524,4,9,2250,28,1
127,2,4,1000,26,1
731,14,3,750,79,1
747,72,1,250,72,1
659,14,7,1750,45,1
133,4,6,1500,35,1
314,9,1,250,9,1
631,2,2,500,22,1
649,14,8,2000,46,1
297,14,2,500,14,1
445,21,3,750,35,1
220,4,1,250,4,1
367,14,4,1000,38,1
430,9,2,500,52,1
601,4,6,1500,46,1
429,16,3,750,40,1
678,11,7,1750,75,1
313,9,1,250,9,1
573,2,2,500,11,1
681,4,2,500,46,1
485,23,4,1000,53,1
157,2,1,250,2,1
490,16,2,500,70,1
34,2,16,4000,64,1
131,2,12,3000,95,1
351,11,2,500,21,1
528,5,24,6000,79,1
606,2,7,1750,77,1
331,16,6,1500,35,1
106,0,8,2000,59,1
26,4,6,1500,14,1
428,23,3,750,28,1
125,2,5,1250,34,1
739,23,4,1000,52,1
711,23,6,1500,45,1
663,11,8,2000,72,1
395,16,10,2500,89,1
478,23,1,250,23,1
664,11,1,250,11,1
722,21,3,750,40,1
141,5,14,3500,86,1
706,14,2,500,29,1
254,12,13,3250,59,1
412,16,1,250,16,1
356,16,6,1500,40,1
246,11,12,3000,58,1
279,11,8,2000,48,1
617,4,1,250,4,1
303,2,3,750,52,1
329,16,7,1750,39,1
611,4,1,250,4,1
665,11,1,250,11,1
273,4,5,1250,58,1
455,21,1,250,21,1
466,23,4,1000,45,1
610,4,1,250,4,1
353,11,2,500,21,1
675,16,3,750,23,1
219,4,1,250,4,1
454,21,1,250,21,1
53,2,12,3000,52,1
648,11,3,750,23,1
312,12,9,2250,60,1
213,4,1,250,4,1
608,4,1,250,4,1
580,2,1,250,2,1
453,21,1,250,21,1
651,16,5,1250,27,1
721,23,3,750,35,1
534,2,6,1500,26,1
634,13,3,750,16,1
544,1,14,3500,95,1
181,10,4,1000,16,1
407,16,1,250,16,1
30,1,14,3500,58,1
410,16,1,250,16,1
511,2,11,2750,26,1
350,11,1,250,11,1
209,11,3,750,14,1
232,4,1,250,4,1
174,2,1,250,2,1
464,21,1,250,21,1
525,2,4,1000,11,1
567,4,9,2250,55,1
616,4,1,250,4,1
115,11,24,6000,64,1
689,14,1,250,14,1
217,4,1,250,4,1
284,11,5,1250,33,1
147,2,2,500,11,1
727,21,1,250,21,1
65,3,16,4000,74,1
271,16,7,1750,28,1
605,4,11,2750,95,1
233,10,8,2000,39,1
734,23,1,250,23,1
472,23,3,750,41,1
584,2,1,250,2,1
296,14,5,1250,28,1
276,14,13,3250,57,1
376,14,5,1250,50,1
527,2,15,3750,64,1
451,21,3,750,38,1
465,21,5,1250,60,1
660,15,5,1250,33,1
158,2,1,250,2,1
