,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,locode,locomment,loccodeandcomment,loblank,uniq_op,uniq_opnd,total_op,total_opnd,branchcount,y
854,3.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,3,1,0,2,3.0,1.0,3.0,1.0,1.0,0
882,3.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,3,0,0,0,3.0,2.0,3.0,2.0,1.0,0
142,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,2.0,0.0,1.0,0
141,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,2.0,0.0,1.0,0
955,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,0.0,1.0,0
94,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,2.0,0.0,1.0,0
93,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,2.0,0.0,1.0,0
92,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,2.0,0.0,1.0,0
91,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,2.0,0.0,1.0,0
90,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,2.0,0.0,1.0,0
588,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,0.0,1.0,0
89,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,2.0,0.0,1.0,0
163,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,2.0,0.0,1.0,0
88,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,2.0,0.0,1.0,0
87,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,2.0,0.0,1.0,0
742,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,0.0,1.0,0
178,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,2.0,0.0,1.0,0
85,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,0.0,1.0,0
179,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,2.0,0.0,1.0,0
83,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,0.0,1.0,0
291,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,0.0,1.0,0
129,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,2.0,0.0,1.0,0
561,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,0.0,1.0,0
160,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,2.0,0.0,1.0,0
170,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,2.0,0.0,1.0,0
158,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,2.0,0.0,1.0,0
117,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,2.0,0.0,1.0,0
132,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,2.0,0.0,1.0,0
511,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,1.0,0.0,1.0,0.0,1.0,0
632,5.0,1.0,1.0,1.0,10.0,30.0,0.22,4.5,6.67,135.0,0.01,7.5,5,0,0,2,6.0,2.0,7.0,3.0,1.0,0
1065,11.0,5.0,5.0,1.0,41.0,164.0,0.05,18.7,8.77,3066.8,0.05,170.38,11,0,0,1,11.0,5.0,24.0,17.0,9.0,0
639,5.0,1.0,1.0,1.0,10.0,30.0,0.22,4.5,6.67,135.0,0.01,7.5,5,0,0,2,6.0,2.0,7.0,3.0,1.0,0
368,3.0,1.0,1.0,1.0,10.0,31.7,0.29,3.5,9.06,110.95,0.01,6.16,3,0,0,0,7.0,2.0,8.0,2.0,1.0,0
171,5.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,5,0,0,1,4.0,3.0,4.0,3.0,1.0,0
624,3.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,3,1,0,1,4.0,3.0,4.0,3.0,1.0,0
783,3.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,3,0,0,0,4.0,3.0,4.0,3.0,1.0,0
764,3.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,3,0,0,0,4.0,3.0,4.0,3.0,1.0,0
641,3.0,1.0,1.0,1.0,9.0,27.0,0.3,3.33,8.1,90.0,0.01,5.0,3,0,0,0,5.0,3.0,5.0,4.0,1.0,0
1039,4.0,1.0,1.0,1.0,9.0,23.26,0.5,2.0,11.63,46.53,0.01,2.58,4,0,0,0,3.0,3.0,5.0,4.0,1.0,0
649,3.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,3,0,0,0,4.0,3.0,4.0,3.0,1.0,0
714,4.0,2.0,1.0,2.0,13.0,43.19,0.14,7.0,6.17,302.3,0.01,16.79,4,0,0,0,7.0,3.0,7.0,6.0,3.0,0
618,3.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,3,0,0,0,4.0,3.0,4.0,3.0,1.0,0
699,9.0,4.0,4.0,1.0,28.0,100.38,0.07,13.5,7.44,1355.12,0.03,75.28,9,0,0,2,9.0,3.0,19.0,9.0,7.0,0
499,4.0,1.0,1.0,1.0,7.0,19.65,0.4,2.5,7.86,49.13,0.01,2.73,4,0,0,0,5.0,2.0,5.0,2.0,1.0,0
681,3.0,1.0,1.0,1.0,9.0,28.53,0.33,3.0,9.51,85.59,0.01,4.75,3,1,0,0,6.0,3.0,6.0,3.0,1.0,0
616,3.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,3,1,0,1,4.0,3.0,4.0,3.0,1.0,0
953,3.0,1.0,1.0,1.0,7.0,18.09,0.67,1.5,12.06,27.14,0.01,1.51,3,0,0,0,3.0,3.0,4.0,3.0,1.0,0
604,3.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,3,4,0,1,4.0,3.0,4.0,3.0,1.0,0
385,5.0,1.0,1.0,1.0,12.0,39.86,0.21,4.67,8.54,186.03,0.01,10.33,5,0,0,2,7.0,3.0,8.0,4.0,1.0,0
942,5.0,1.0,1.0,1.0,17.0,47.73,0.25,4.0,11.93,190.9,0.02,10.61,5,0,0,0,4.0,3.0,11.0,6.0,1.0,0
353,5.0,1.0,1.0,1.0,12.0,39.86,0.21,4.67,8.54,186.03,0.01,10.33,5,0,0,2,7.0,3.0,8.0,4.0,1.0,0
344,3.0,1.0,1.0,1.0,12.0,39.86,0.21,4.67,8.54,186.03,0.01,10.33,3,0,0,0,7.0,3.0,8.0,4.0,1.0,0
334,0.0,2.0,1.0,1.0,12.0,38.04,0.25,4.0,9.51,152.16,0.01,8.45,0,0,0,0,6.0,3.0,8.0,4.0,3.0,0
333,9.0,1.0,1.0,1.0,31.0,114.71,0.05,21.67,5.29,2485.46,0.04,138.08,9,0,0,2,10.0,3.0,18.0,13.0,1.0,0
322,0.0,2.0,1.0,1.0,12.0,38.04,0.25,4.0,9.51,152.16,0.01,8.45,0,0,0,0,6.0,3.0,8.0,4.0,3.0,0
984,4.0,1.0,1.0,1.0,9.0,27.0,0.4,2.5,10.8,67.5,0.01,3.75,4,0,0,0,5.0,3.0,6.0,3.0,1.0,0
1038,7.0,3.0,1.0,1.0,29.0,110.41,0.05,18.33,6.02,2024.24,0.04,112.46,7,0,0,1,11.0,3.0,19.0,10.0,5.0,0
697,3.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,3,1,0,0,3.0,2.0,3.0,2.0,1.0,0
419,5.0,1.0,1.0,1.0,8.0,20.68,0.5,2.0,10.34,41.36,0.01,2.3,5,0,0,1,4.0,2.0,6.0,2.0,1.0,0
664,5.0,1.0,1.0,1.0,10.0,30.0,0.22,4.5,6.67,135.0,0.01,7.5,5,0,0,2,6.0,2.0,7.0,3.0,1.0,0
961,6.0,2.0,1.0,1.0,13.0,39.0,0.17,6.0,6.5,234.0,0.01,13.0,6,0,0,0,6.0,2.0,9.0,4.0,3.0,0
648,5.0,1.0,1.0,1.0,11.0,34.87,0.19,5.25,6.64,183.06,0.01,10.17,5,0,0,2,7.0,2.0,8.0,3.0,1.0,0
1088,5.0,3.0,1.0,2.0,19.0,68.11,0.07,15.0,4.54,1021.71,0.02,56.76,5,0,0,0,10.0,2.0,13.0,6.0,5.0,0
438,6.0,1.0,1.0,1.0,10.0,30.0,0.22,4.5,6.67,135.0,0.01,7.5,6,0,0,2,6.0,2.0,7.0,3.0,1.0,0
928,3.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,3,0,0,0,3.0,2.0,3.0,2.0,1.0,0
930,5.0,3.0,1.0,2.0,19.0,68.11,0.07,15.0,4.54,1021.71,0.02,56.76,5,0,0,0,10.0,2.0,13.0,6.0,5.0,0
694,3.0,1.0,1.0,1.0,7.0,19.65,0.4,2.5,7.86,49.13,0.01,2.73,3,0,0,2,5.0,2.0,5.0,2.0,1.0,0
670,5.0,1.0,1.0,1.0,10.0,30.0,0.22,4.5,6.67,135.0,0.01,7.5,5,0,0,2,6.0,2.0,7.0,3.0,1.0,0
359,4.0,1.0,1.0,1.0,8.0,22.46,0.4,2.5,8.98,56.15,0.01,3.12,4,0,0,0,5.0,2.0,6.0,2.0,1.0,0
850,4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,4,0,0,0,3.0,2.0,3.0,2.0,1.0,0
954,3.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,3,0,0,0,3.0,2.0,3.0,2.0,1.0,0
831,3.0,1.0,1.0,1.0,9.0,28.53,0.29,3.5,8.15,99.85,0.01,5.55,3,0,0,1,7.0,2.0,7.0,2.0,1.0,0
339,3.0,1.0,1.0,1.0,10.0,31.7,0.29,3.5,9.06,110.95,0.01,6.16,3,0,0,0,7.0,2.0,8.0,2.0,1.0,0
819,3.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,3,0,0,1,3.0,2.0,3.0,2.0,1.0,0
184,3.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,3,0,0,0,3.0,2.0,3.0,2.0,1.0,0
503,9.0,2.0,1.0,2.0,18.0,59.79,0.33,3.0,19.93,179.38,0.02,9.97,8,5,1,6,5.0,5.0,12.0,6.0,3.0,0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1
230,5.0,1.0,1.0,1.0,13.0,43.19,0.27,3.75,11.52,161.94,0.01,9.0,4,1,1,2,6.0,4.0,8.0,5.0,1.0,0
652,5.0,1.0,1.0,1.0,27.0,85.59,0.13,7.5,11.41,641.91,0.03,35.66,4,2,1,0,5.0,4.0,15.0,12.0,1.0,0
366,3.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,2,0,1,1,4.0,3.0,4.0,3.0,1.0,0
233,5.0,1.0,1.0,1.0,13.0,43.19,0.27,3.75,11.52,161.94,0.01,9.0,4,1,1,2,6.0,4.0,8.0,5.0,1.0,0
134,8.0,1.0,1.0,1.0,14.0,42.0,0.3,3.33,12.6,140.0,0.01,7.78,7,4,1,4,5.0,3.0,10.0,4.0,1.0,0
599,5.0,1.0,1.0,1.0,14.0,46.51,0.27,3.75,12.4,174.4,0.02,9.69,4,3,1,0,6.0,4.0,9.0,5.0,1.0,0
878,6.0,1.0,1.0,1.0,16.0,55.35,0.19,5.25,10.54,290.59,0.02,16.14,5,1,1,2,7.0,4.0,10.0,6.0,1.0,0
925,6.0,1.0,1.0,1.0,16.0,55.35,0.19,5.25,10.54,290.59,0.02,16.14,5,1,1,2,7.0,4.0,10.0,6.0,1.0,0
250,6.0,1.0,1.0,1.0,17.0,56.47,0.19,5.25,10.76,296.48,0.02,16.47,4,0,2,2,6.0,4.0,10.0,7.0,1.0,0
271,3.0,1.0,1.0,1.0,14.0,46.51,0.33,3.0,15.5,139.52,0.02,7.75,1,0,2,0,5.0,5.0,8.0,6.0,1.0,0
253,6.0,1.0,1.0,1.0,17.0,56.47,0.19,5.25,10.76,296.48,0.02,16.47,4,0,2,2,6.0,4.0,10.0,7.0,1.0,0
80,8.0,2.0,1.0,1.0,11.0,33.0,0.22,4.5,7.33,148.5,0.01,8.25,6,3,2,2,6.0,2.0,8.0,3.0,3.0,0
282,6.0,1.0,1.0,1.0,16.0,50.72,0.23,4.38,11.59,221.89,0.02,12.33,4,0,2,2,5.0,4.0,9.0,7.0,1.0,0
199,4.0,1.0,1.0,1.0,12.0,39.86,0.33,3.0,13.29,119.59,0.01,6.64,2,3,2,1,6.0,4.0,8.0,4.0,1.0,0
0,1.1,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,2,2,2,2,1.2,1.2,1.2,1.2,1.4,0
281,6.0,1.0,1.0,1.0,16.0,50.72,0.23,4.38,11.59,221.89,0.02,12.33,4,0,2,2,5.0,4.0,9.0,7.0,1.0,0
