,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,locode,locomment,loblank,loccodeandcomment,uniq_op,uniq_opnd,total_op,total_opnd,branchcount,y
1218,2.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0,0,0,0,3.0,1.0,3.0,1.0,1.0,0
1684,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,0.0,1.0,0
1189,149.0,25.0,19.0,25.0,401.0,2432.5,0.03,30.36,80.13,73847.58,0.81,4102.64,114,9,16,8,21.0,46.0,268.0,133.0,49.0,0
934,1.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0,0,0,0,3.0,1.0,3.0,1.0,1.0,0
2006,1.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,0,0,0,0,3.0,2.0,3.0,2.0,1.0,0
382,9.0,1.0,1.0,1.0,19.0,72.34,0.25,4.0,18.08,289.36,0.02,16.07,4,0,2,0,7.0,7.0,11.0,8.0,1.0,0
737,18.0,1.0,1.0,1.0,64.0,300.83,0.18,5.56,54.15,1671.27,0.1,92.85,13,0,0,0,8.0,18.0,39.0,25.0,1.0,0
1216,6.0,1.0,1.0,1.0,10.0,31.7,0.4,2.5,12.68,79.25,0.01,4.4,1,0,0,0,5.0,4.0,6.0,4.0,1.0,0
1132,38.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,0
2052,2.0,2.0,1.0,2.0,9.0,27.0,0.14,7.0,3.86,189.0,0.01,10.5,0,0,0,0,7.0,1.0,7.0,2.0,3.0,0
1752,4.0,1.0,1.0,1.0,5.0,11.61,0.5,2.0,5.8,23.22,0.0,1.29,2,0,0,0,4.0,1.0,4.0,1.0,1.0,0
882,2.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,0,0,0,0,3.0,2.0,3.0,2.0,1.0,0
1939,24.0,2.0,1.0,2.0,65.0,322.02,0.14,6.9,46.64,2223.49,0.11,123.53,19,0,1,0,10.0,21.0,36.0,29.0,3.0,0
731,8.0,1.0,1.0,1.0,16.0,55.35,0.23,4.38,12.65,242.16,0.02,13.45,5,0,1,0,7.0,4.0,11.0,5.0,1.0,0
772,31.0,4.0,1.0,4.0,90.0,450.0,0.06,16.32,27.57,7345.59,0.15,408.09,24,3,2,0,15.0,17.0,53.0,37.0,7.0,0
1771,16.0,1.0,1.0,1.0,22.0,88.0,0.33,3.0,29.33,264.0,0.03,14.67,10,0,0,0,6.0,10.0,12.0,10.0,1.0,0
1306,59.0,7.0,7.0,6.0,182.0,1016.46,0.05,21.95,46.31,22309.61,0.34,1239.42,47,4,5,1,19.0,29.0,115.0,67.0,13.0,0
2033,15.0,3.0,1.0,3.0,42.0,178.41,0.13,7.78,22.94,1387.66,0.06,77.09,11,0,2,0,10.0,9.0,28.0,14.0,5.0,0
796,5.0,1.0,1.0,1.0,9.0,27.0,0.4,2.5,10.8,67.5,0.01,3.75,3,0,0,0,5.0,3.0,6.0,3.0,1.0,0
609,127.0,25.0,7.0,22.0,396.0,2309.82,0.03,38.21,60.45,88254.54,0.77,4903.03,108,7,9,0,21.0,36.0,265.0,131.0,49.0,0
644,17.0,2.0,1.0,2.0,36.0,144.0,0.12,8.33,17.28,1200.0,0.05,66.67,14,0,1,0,10.0,6.0,26.0,10.0,3.0,0
591,31.0,3.0,1.0,3.0,79.0,379.78,0.1,9.71,39.13,3686.11,0.13,204.78,25,1,2,0,11.0,17.0,49.0,30.0,5.0,0
345,16.0,1.0,1.0,1.0,34.0,141.78,0.19,5.2,27.26,737.24,0.05,40.96,10,0,2,0,8.0,10.0,21.0,13.0,1.0,0
2021,2.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0,0,0,0,3.0,1.0,3.0,1.0,1.0,0
824,14.0,2.0,1.0,2.0,31.0,121.11,0.13,7.5,16.14,908.35,0.04,50.46,11,0,1,0,9.0,6.0,21.0,10.0,3.0,0
2102,14.0,2.0,1.0,2.0,28.0,109.39,0.19,5.14,21.27,562.59,0.04,31.26,11,0,1,0,8.0,7.0,19.0,9.0,3.0,0
1352,30.0,3.0,1.0,3.0,53.0,221.01,0.09,10.63,20.8,2348.19,0.07,130.44,21,5,2,0,10.0,8.0,36.0,17.0,5.0,0
666,14.0,1.0,1.0,1.0,27.0,110.36,0.31,3.27,33.72,361.18,0.04,20.07,8,0,2,0,6.0,11.0,15.0,12.0,1.0,0
840,107.0,18.0,11.0,12.0,213.0,1236.97,0.03,31.05,39.84,38405.82,0.41,2133.66,80,19,0,4,25.0,31.0,136.0,77.0,35.0,0
723,12.0,2.0,1.0,2.0,25.0,95.18,0.15,6.67,14.28,634.56,0.03,35.25,8,0,0,0,8.0,6.0,15.0,10.0,3.0,0
1100,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0
650,12.0,1.0,1.0,1.0,33.0,132.0,0.2,5.06,26.11,667.33,0.04,37.07,8,0,1,0,7.0,9.0,20.0,13.0,1.0,0
558,16.0,2.0,1.0,2.0,32.0,133.44,0.18,5.6,23.83,747.25,0.04,41.51,11,0,1,0,8.0,10.0,18.0,14.0,3.0,0
1444,2.0,1.0,1.0,1.0,3.0,4.75,1.0,1.0,4.75,4.75,0.0,0.26,0,0,0,0,2.0,1.0,2.0,1.0,1.0,0
1969,7.0,1.0,1.0,1.0,21.0,69.76,0.33,3.0,23.25,209.28,0.02,11.63,5,0,0,0,5.0,5.0,15.0,6.0,1.0,0
1950,4.0,1.0,1.0,1.0,6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,2,0,0,0,4.0,2.0,4.0,2.0,1.0,0
1078,36.0,6.0,4.0,6.0,151.0,808.99,0.04,22.31,36.26,18050.6,0.27,1002.81,25,0,9,0,17.0,24.0,88.0,63.0,11.0,0
627,4.0,1.0,1.0,1.0,7.0,19.65,0.4,2.5,7.86,49.13,0.01,2.73,2,0,0,0,5.0,2.0,5.0,2.0,1.0,0
327,5.0,1.0,1.0,1.0,11.0,30.88,0.38,2.67,11.58,82.35,0.01,4.57,3,0,0,0,4.0,3.0,7.0,4.0,1.0,0
1732,2.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0,0,0,0,3.0,1.0,3.0,1.0,1.0,0
1972,2.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,0,0,0,0,3.0,2.0,3.0,2.0,1.0,0
2019,52.0,6.0,5.0,5.0,139.0,729.46,0.06,15.65,46.6,11417.66,0.24,634.31,39,3,1,1,15.0,23.0,91.0,48.0,11.0,0
1272,63.0,12.0,1.0,12.0,151.0,792.44,0.07,14.29,55.45,11325.25,0.26,629.18,57,2,2,0,14.0,24.0,102.0,49.0,23.0,0
2103,4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,0,0,0,0,3.0,2.0,3.0,2.0,1.0,0
1476,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,0.0,1.0,0
1026,2.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0,0,0,0,3.0,1.0,3.0,1.0,1.0,0
1564,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0
1545,18.0,1.0,1.0,1.0,45.0,203.56,0.12,8.25,24.67,1679.37,0.07,93.3,12,0,1,0,11.0,12.0,27.0,18.0,1.0,0
837,6.0,1.0,1.0,1.0,7.0,18.09,1.0,1.0,18.09,18.09,0.01,1.01,3,0,0,0,2.0,4.0,3.0,4.0,1.0,0
1430,85.0,6.0,1.0,6.0,187.0,1060.74,0.06,17.14,61.88,18184.17,0.35,1010.23,56,17,7,3,16.0,35.0,112.0,75.0,11.0,0
1836,9.0,1.0,1.0,1.0,18.0,68.53,0.21,4.67,14.69,319.82,0.02,17.77,6,0,0,0,8.0,6.0,11.0,7.0,1.0,0
1689,4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0,0,0,0,3.0,1.0,3.0,1.0,1.0,0
452,1.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0,0,0,0,3.0,1.0,3.0,1.0,1.0,0
1633,2.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0,0,0,0,3.0,1.0,3.0,1.0,1.0,0
751,4.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,2,0,0,0,4.0,3.0,4.0,3.0,1.0,0
614,22.0,2.0,1.0,2.0,35.0,148.68,0.16,6.3,23.6,936.67,0.05,52.04,15,0,3,0,9.0,10.0,21.0,14.0,3.0,0
950,12.0,3.0,1.0,3.0,38.0,158.46,0.09,11.0,14.41,1743.03,0.05,96.83,9,0,0,1,11.0,7.0,24.0,14.0,5.0,0
1239,1.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0,0,0,0,3.0,1.0,3.0,1.0,1.0,0
1005,2.0,1.0,1.0,1.0,12.0,39.86,0.4,2.5,15.95,99.66,0.01,5.54,0,0,0,0,5.0,5.0,7.0,5.0,1.0,0
2104,19.0,2.0,1.0,2.0,40.0,175.69,0.15,6.82,25.77,1197.9,0.06,66.55,12,1,2,0,10.0,11.0,25.0,15.0,3.0,0
1872,1.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0,0,0,0,3.0,1.0,3.0,1.0,1.0,0
1023,2.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0,0,0,0,3.0,1.0,3.0,1.0,1.0,0
1701,2.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,0,0,0,0,3.0,2.0,3.0,2.0,1.0,0
1136,4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0,0,0,0,3.0,1.0,3.0,1.0,1.0,0
570,7.0,1.0,1.0,1.0,14.0,50.19,0.33,3.0,16.73,150.57,0.02,8.36,3,0,0,0,6.0,6.0,8.0,6.0,1.0,0
821,10.0,2.0,1.0,2.0,17.0,60.94,0.33,3.0,20.31,182.83,0.02,10.16,6,1,0,1,6.0,6.0,11.0,6.0,3.0,0
486,4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2,0,0,0,3.0,1.0,3.0,1.0,1.0,0
930,2.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0,0,0,0,3.0,1.0,3.0,1.0,1.0,0
2035,2.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0,0,0,0,3.0,1.0,3.0,1.0,1.0,0
1115,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,1.0,0.0,1.0,1.0,0
626,15.0,1.0,1.0,1.0,21.0,84.0,0.33,3.0,28.0,252.0,0.03,14.0,8,0,1,0,6.0,10.0,11.0,10.0,1.0,0
582,24.0,3.0,3.0,3.0,69.0,312.13,0.15,6.56,47.56,2048.33,0.1,113.8,19,0,3,0,7.0,16.0,39.0,30.0,5.0,0
503,17.0,2.0,1.0,2.0,24.0,91.38,0.17,6.0,15.23,548.26,0.03,30.46,12,0,3,0,8.0,6.0,15.0,9.0,3.0,0
628,12.0,2.0,1.0,2.0,32.0,130.8,0.16,6.22,21.02,813.86,0.04,45.21,6,0,0,0,8.0,9.0,18.0,14.0,3.0,0
1782,9.0,1.0,1.0,1.0,20.0,78.14,0.33,3.0,26.05,234.41,0.03,13.02,4,0,1,0,6.0,9.0,11.0,9.0,1.0,0
493,18.0,2.0,1.0,2.0,29.0,110.41,0.15,6.67,16.56,736.09,0.04,40.89,13,0,3,0,8.0,6.0,19.0,10.0,3.0,0
1810,8.0,1.0,1.0,1.0,21.0,66.57,0.4,2.5,26.63,166.42,0.02,9.25,7,0,0,0,3.0,6.0,11.0,10.0,1.0,0
1835,1.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0,0,0,0,3.0,1.0,3.0,1.0,1.0,0
1221,2.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0,0,0,0,3.0,1.0,3.0,1.0,1.0,0
1261,2.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0,0,0,0,3.0,1.0,3.0,1.0,1.0,0
491,16.0,2.0,1.0,2.0,25.0,92.51,0.16,6.4,14.45,592.07,0.03,32.89,12,0,2,0,8.0,5.0,17.0,8.0,3.0,0
889,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,0.0,1.0,0
355,25.0,3.0,1.0,3.0,58.0,254.75,0.11,9.35,27.25,2381.95,0.08,132.33,21,0,2,0,11.0,10.0,41.0,17.0,5.0,0
458,1.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0,0,0,0,3.0,1.0,3.0,1.0,1.0,0
1666,1.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0,0,0,0,3.0,1.0,3.0,1.0,1.0,0
682,18.0,2.0,1.0,2.0,43.0,197.15,0.11,9.45,20.85,1864.0,0.07,103.56,15,0,1,0,13.0,11.0,27.0,16.0,3.0,0
480,4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2,0,0,0,3.0,1.0,3.0,1.0,1.0,0
1084,70.0,20.0,5.0,6.0,418.0,2526.56,0.02,41.5,60.88,104852.1,0.84,5825.12,52,0,16,0,22.0,44.0,252.0,166.0,39.0,0
693,4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2,0,0,0,3.0,1.0,3.0,1.0,1.0,0
1395,70.0,10.0,8.0,10.0,167.0,888.76,0.06,16.42,54.12,14596.21,0.3,810.9,61,0,7,0,14.0,26.0,106.0,61.0,18.0,0
933,1.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0,0,0,0,3.0,1.0,3.0,1.0,1.0,0
1515,2.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0,0,0,0,3.0,1.0,3.0,1.0,1.0,0
1601,2.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0,0,0,0,3.0,1.0,3.0,1.0,1.0,0
1988,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0
1504,5.0,1.0,1.0,1.0,4.0,8.0,1.0,1.0,8.0,8.0,0.0,0.44,2,0,0,0,2.0,2.0,2.0,2.0,1.0,0
1249,136.0,19.0,9.0,18.0,334.0,2004.0,0.04,24.07,83.27,48229.6,0.67,2679.42,116,2,14,2,19.0,45.0,220.0,114.0,37.0,0
758,45.0,6.0,1.0,6.0,89.0,427.85,0.05,20.67,20.7,8842.33,0.14,491.24,37,3,3,0,16.0,12.0,58.0,31.0,11.0,0
2008,16.0,1.0,1.0,1.0,32.0,138.3,0.21,4.67,29.64,645.41,0.05,35.86,12,0,0,0,8.0,12.0,18.0,14.0,1.0,0
699,1.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0,0,0,0,3.0,1.0,3.0,1.0,1.0,0
985,45.0,6.0,5.0,6.0,100.0,504.44,0.08,12.89,39.12,6504.61,0.17,361.37,38,1,2,0,14.0,19.0,65.0,35.0,11.0,0
1723,2.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,0,0,0,0,3.0,2.0,3.0,2.0,1.0,0
539,4.0,1.0,1.0,1.0,8.0,24.0,0.4,2.5,9.6,60.0,0.01,3.33,2,0,0,0,5.0,3.0,5.0,3.0,1.0,0
672,8.0,1.0,1.0,1.0,4.0,8.0,2.0,0.5,16.0,4.0,0.0,0.22,5,0,0,0,1.0,3.0,1.0,3.0,1.0,0
752,4.0,1.0,1.0,1.0,9.0,27.0,0.5,2.0,13.5,54.0,0.01,3.0,2,0,0,0,4.0,4.0,5.0,4.0,1.0,0
414,4.0,1.0,1.0,1.0,7.0,18.09,1.0,1.0,18.09,18.09,0.01,1.01,1,0,0,0,2.0,4.0,3.0,4.0,1.0,0
1709,5.0,2.0,1.0,1.0,17.0,68.0,0.22,4.5,15.11,306.0,0.02,17.0,3,0,0,0,9.0,7.0,10.0,7.0,3.0,0
585,63.0,8.0,1.0,7.0,145.0,805.42,0.06,15.52,51.9,12497.82,0.27,694.32,57,0,0,0,18.0,29.0,95.0,50.0,14.0,0
1158,4.0,1.0,1.0,1.0,6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,2,0,0,0,4.0,2.0,4.0,2.0,1.0,0
1494,16.0,2.0,1.0,2.0,52.0,231.89,0.13,7.92,29.29,1835.8,0.08,101.99,14,0,0,0,10.0,12.0,33.0,19.0,3.0,0
447,4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2,0,0,0,3.0,1.0,3.0,1.0,1.0,0
1694,2.0,1.0,1.0,1.0,7.0,18.09,0.5,2.0,9.05,36.19,0.01,2.0,0,0,0,0,4.0,2.0,5.0,2.0,1.0,0
419,14.0,1.0,1.0,1.0,20.0,69.19,0.3,3.33,20.76,230.63,0.02,12.81,9,0,3,0,5.0,6.0,12.0,8.0,1.0,0
1315,91.0,9.0,4.0,8.0,199.0,1117.33,0.06,16.97,65.84,18960.71,0.37,1053.37,70,6,13,0,16.0,33.0,129.0,70.0,17.0,0
1128,19.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,0
1098,27.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,0
1654,2.0,1.0,1.0,1.0,5.0,11.61,0.5,2.0,5.8,23.22,0.0,1.29,0,0,0,0,4.0,1.0,4.0,1.0,1.0,0
