,v1,v2,v3,v4,v5,y
1626,-0.746673,-0.183027,0.855554,-1.07593,-0.136583,0
830,-0.610199,-0.343796,0.85938,-1.075465,0.558229,1
3051,0.393529,1.167952,0.623878,-1.074563,-0.411116,1
3994,0.455597,-0.107638,1.642063,-1.074057,-0.457872,0
4647,-0.778813,-0.141525,0.908243,-1.073573,-0.136583,0
3906,-0.659488,0.068331,0.801039,-1.070319,-0.507738,0
1980,-0.875496,-1.143025,-0.363334,-1.07007,-0.136583,0
1004,0.209406,0.662146,-1.288704,-1.068463,0.640368,1
2995,-0.025939,-0.011569,0.747248,-1.066893,-0.437239,1
1640,-0.59148,0.171697,0.815054,-1.066135,-0.579053,0
148,-0.772159,-0.145003,0.838762,-1.06364,-0.50836,0
2910,-0.197875,0.59121,0.790882,-1.063492,-0.973119,0
4463,-0.523934,0.621314,0.39914,-1.063343,-0.136583,0
1383,-0.498658,0.591339,0.966897,-1.063328,-0.136583,0
5349,0.117188,0.791138,1.456874,-1.062648,-0.465761,1
353,-0.896988,-1.116595,-0.462389,-1.062046,-1.107242,0
2866,-0.703586,-0.761281,0.694483,-1.060452,0.691979,1
2479,1.428533,-0.854092,1.420253,-1.059257,-0.416454,0
426,-0.513828,0.562458,0.338919,-1.058967,-0.136583,0
787,1.42823,-0.854821,1.419962,-1.058811,-0.416387,0
2365,-0.285906,-0.617273,1.373486,-1.058811,0.978662,1
4000,-0.456745,-2.707322,-2.003341,-1.058362,-0.63265,0
1774,-0.567177,0.172378,1.107415,-1.058162,-0.579821,0
4108,-0.838738,-0.851349,0.09655,-1.057902,-0.136583,1
3148,-0.559389,0.338995,0.575987,-1.057278,-0.136583,0
2983,-0.654628,-0.197785,1.245362,-1.057101,-0.541441,0
3039,-0.379201,-0.226584,1.277952,-1.056934,-0.592867,0
487,-0.395177,-0.254303,1.241504,-1.055478,-0.519811,0
4053,0.585626,0.029885,1.379721,-1.054761,-0.447789,1
2633,0.141011,1.022438,1.168554,-1.054469,0.804758,0
1440,-0.52079,0.669959,0.430271,-1.053173,-0.136583,0
346,-0.125956,1.707093,0.70249,-1.053162,-0.48374,0
782,-0.32313,1.395445,0.884643,-1.052852,-0.505728,0
3399,-0.080704,0.126917,0.799029,-1.052695,-0.418463,1
1038,-0.813247,-1.277001,-0.648425,-1.051572,1.608611,1
4593,-0.123155,1.679104,0.759772,-1.050783,-0.481977,0
94,1.086563,0.247626,0.53646,-1.048645,0.988874,1
2146,-0.119884,1.81537,0.733136,-1.048368,-0.486426,0
4762,-0.306231,-0.032637,0.793929,-1.048319,2.042734,1
2494,-0.600712,0.174294,0.819528,-1.045922,-0.512231,0
5006,-0.159854,0.847938,0.510018,-1.044818,-1.034373,0
467,-0.726636,-0.064104,0.79086,-1.043337,-0.136583,0
542,-0.598794,1.835686,-1.283886,-1.043167,1.997287,0
881,-0.178311,0.703682,0.61532,-1.042898,-1.009187,0
305,0.244995,0.745536,-0.115589,-1.042665,1.869703,0
1469,-0.410939,-0.283478,1.094578,-1.042141,-0.486879,0
3674,-0.495783,0.575406,0.848055,-1.041844,-0.57563,0
2444,-0.042503,1.51304,0.832905,-1.040768,-0.136583,0
5015,-0.174786,0.842286,1.021088,-1.040297,-0.136583,0
1313,-0.299376,-0.283431,0.953336,-1.039996,1.45772,1
3858,-0.522224,1.425749,1.5224,-1.038929,-0.466256,1
1450,-0.141622,0.289303,0.258935,-1.038801,2.674244,0
1361,0.668947,0.422937,0.993717,-1.038463,-0.411293,1
771,-0.887947,-1.191153,-0.432605,-1.03815,-0.136583,0
5226,-0.081693,1.45765,0.835672,-1.037863,-0.516253,0
3433,-0.886615,-1.191509,-0.428445,-1.036845,-0.136583,0
302,-0.074169,0.021883,-1.147021,-1.03549,3.168805,0
3279,-0.088405,0.034291,1.285916,-1.035471,0.458961,0
110,-0.184728,-0.438948,0.851221,-1.034197,0.462539,1
3734,-0.135832,1.209147,1.055602,-1.032527,0.286184,0
1699,-0.3514,0.954734,0.634144,-1.031562,-0.136583,0
4955,0.134445,1.006118,1.093562,-1.029357,0.81301,0
597,-0.046279,0.998692,1.10882,-1.026642,-0.413134,1
3126,-0.422434,0.019228,0.853231,-1.02541,-0.769345,0
5353,-0.209649,1.19379,1.055072,-1.025364,-0.566112,0
2667,0.637051,0.315612,1.164481,-1.025249,-0.397536,1
1836,-0.338275,-0.363608,0.902095,-1.025047,1.723635,1
1659,-0.182912,1.133301,1.145603,-1.024539,-0.551449,0
2255,0.591286,0.204691,1.434409,-1.021812,-0.429084,1
915,-0.527135,0.276743,0.522174,-1.019459,-0.451936,0
601,-0.480678,1.545094,1.344191,-1.019137,-0.443976,1
3261,-0.098123,1.413058,0.836223,-1.018036,-0.497291,0
5207,-0.269063,1.545035,0.773063,-1.017963,-0.463345,0
4979,-0.561326,0.647199,0.779028,-1.015572,-0.586966,0
856,-0.506715,2.218515,1.009926,-1.015276,-0.435184,1
461,0.479656,0.346573,1.44515,-1.014331,-0.517642,1
4354,0.246113,0.16843,0.689459,-1.014188,1.801377,1
3511,0.022769,0.051235,0.76417,-1.013372,-0.379871,1
2253,-0.700357,0.203798,0.644409,-1.013092,0.448257,0
3932,-0.873455,-1.673834,-0.364282,-1.012337,-0.136583,1
2526,0.345423,1.11302,0.795831,-1.011816,-0.392595,1
1938,-0.674976,-0.863627,-0.208881,-1.01147,-1.953873,0
5267,-0.77065,-0.878704,0.428877,-1.0109,0.456843,1
3470,-0.7135,0.081891,0.686855,-1.010689,-0.136583,0
4351,-0.733424,-0.105805,0.707915,-1.010512,-0.136583,0
1760,-0.577926,0.588766,0.680155,-1.010511,-0.554554,0
3270,-2.169755,0.367959,-1.823196,-1.010187,-0.136583,0
3849,-0.479199,1.591343,1.356305,-1.009993,-0.459917,1
5035,-0.127584,0.587826,0.023219,-1.009064,2.673497,0
906,-0.684223,-0.439152,0.659094,-1.008496,-0.481395,1
136,0.52591,0.569379,-1.166201,-1.008378,2.45839,0
5068,-0.635014,-0.586605,0.185774,-1.00744,-0.136583,1
3215,-1.188258,-0.20339,0.062917,-1.005995,0.212825,0
1338,-0.233437,-0.2849,1.527058,-1.004575,0.789206,0
3081,0.303291,0.967213,1.09836,-1.004061,-0.435342,1
521,-0.586162,0.147797,0.6243,-1.003957,-0.490388,0
4599,-0.832118,-0.896854,0.389836,-1.003859,-0.780781,0
3216,-0.717631,-0.669305,0.030494,-1.003501,2.452118,1
2952,-0.471121,1.403259,1.511984,-1.002867,-0.505091,1
686,-0.62145,-0.55552,0.203685,-1.001893,-0.136583,1
3157,-0.769559,-1.035082,0.317686,-1.000369,0.723246,1
5295,0.460371,0.644391,1.313276,-1.000308,-0.415207,1
2377,1.745058,-1.148319,0.997985,-0.99935,0.330228,0
4548,1.745373,-1.148493,0.998136,-0.999193,0.330325,0
456,-0.539509,0.287153,0.547201,-0.99817,-0.471841,0
1757,0.275948,1.216197,0.851621,-0.998094,-0.419649,1
1301,0.05409,-0.109871,0.567775,-0.996606,-0.517997,0
4878,-0.205594,0.882812,0.91557,-0.996418,-0.136583,0
3730,-0.158336,0.382881,0.121962,-0.995911,2.851687,0
3654,-0.706946,-0.602279,0.151961,-0.993926,1.966069,1
5373,-0.251406,-0.630654,0.870563,-0.992839,0.483167,1
4884,-0.278129,-0.268697,1.478993,-0.992002,0.802722,0
3512,-0.190752,0.906912,0.921307,-0.990825,-0.46614,0
502,-0.688655,0.111677,0.539129,-0.990786,0.29105,0
2753,-0.582936,0.541989,0.657452,-0.990462,-0.5497,0
3929,0.562347,0.540591,-1.196594,-0.987329,2.311487,0
4315,0.839442,1.013802,-1.214908,-0.987178,1.278451,0
4938,-0.265672,1.384823,0.275652,-0.986786,-0.439424,0
3024,-0.595065,-0.371268,0.634047,-0.986773,-0.543535,0
2698,-0.413883,1.341101,1.526312,-0.98676,-0.496943,1
1199,1.967875,-0.952932,0.989319,-0.986188,-0.390644,0
3604,-0.226685,1.892403,0.083285,-0.985574,-0.375823,0
4491,-0.801512,-1.17006,-0.538446,-0.985212,1.228507,1
670,0.771482,0.391506,-1.180783,-0.984514,2.258935,0
3786,-0.722976,-0.692352,0.003703,-0.983232,2.434468,1
5304,-0.29918,-0.2894,1.415423,-0.981876,0.780684,0
2593,0.318045,1.304088,-1.261265,-0.981355,1.423748,0
4226,0.226247,1.2381,0.827881,-0.979235,-0.418247,1
4182,0.485793,0.854483,1.156938,-0.978097,-0.426009,1
3149,-0.366834,0.206959,0.849903,-0.975349,-0.5524,1
2776,-0.366834,0.207182,0.849903,-0.975349,-0.552057,1
1138,-0.131071,1.280059,0.869072,-0.974614,-0.436497,0
3946,-0.209458,1.910146,0.11472,-0.974299,-0.384407,0
1614,-0.696991,0.080422,0.55323,-0.972943,-0.545774,0
2551,-0.211391,1.989224,0.066228,-0.972306,-0.371518,0
2806,-0.448153,1.503992,0.647576,-0.970508,-0.471044,0
736,-0.726761,-0.092657,0.645987,-0.969075,-0.401417,0
1993,-0.453118,1.561309,0.643923,-0.967547,-0.4752,0
1128,-0.693451,0.115144,0.621328,-0.967287,-0.550744,0
4776,-0.183794,0.47761,0.3392,-0.966573,-0.412056,1
4437,0.081183,0.471477,0.558622,-0.966166,-0.38024,1
5358,-0.796319,-0.901881,-0.411922,-0.965075,1.80301,1
4591,-0.288167,0.642969,0.567375,-0.964956,-0.405699,0
3954,0.128455,1.526224,-1.30147,-0.96426,1.107825,0
18,0.256722,1.189431,1.009472,-0.964069,-0.427583,1
4549,0.672347,0.480842,1.05652,-0.963921,-0.37698,1
4352,-0.673497,-0.865277,-0.204331,-0.962751,1.560441,0
1215,0.136559,1.080355,1.060896,-0.962535,-0.388009,0
4224,-0.676623,-0.343018,-1.19162,-0.962457,0.594918,0
3838,0.633417,0.448764,1.265158,-0.961693,-0.401941,1
5191,-0.271786,1.203496,0.621426,-0.960825,-0.428238,0
3781,-0.720502,-0.69698,-0.017142,-0.960677,2.279869,1
1967,-0.112211,1.358033,0.807415,-0.958799,-0.432331,0
