,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,y
890,4.347,3.0077,0,0,0,0,0,31.7,1,2,0,-0.071,3.477,2.79,9.619,3,0.979,1.142,0,0,0,1.178,0,0,0,0,2.017,0.001,0,10.797,5.864,0,0,0,0,3.357,2.078,0,7.954,0,0,0
967,4.382,2.2073,0,0,2,0,0,32.4,0,1,2,0.254,3.426,0.544,9.692,2,0.977,1.143,0,0,0,1.195,1,0,0,0,2.066,0.001,0,11.274,1.489,0,0,2,1,3.34,1.976,1,7.923,0,0,1
270,3.956,2.8079,0,0,0,0,0,31.9,2,0,0,0.0,3.413,2.974,9.377,0,0.96,1.141,0,0,0,1.208,0,0,0,0,1.962,0.001,0,0.0,6.102,0,0,0,0,2.976,1.567,0,7.59,0,0,0
803,4.0,2.0,0,0,0,0,0,33.3,0,0,0,0.0,3.22,0.0,9.314,0,0.961,1.138,0,0,0,1.205,1,0,0,0,2.0,0.003,0,0.0,1.244,0,0,0,0,3.009,1.5,0,7.439,0,0,1
15,3.942,2.7719,1,0,0,0,0,31.6,2,0,0,0.0,3.44,2.777,9.207,0,0.969,1.141,0,0,0,1.22,0,0,1,0,1.95,0.003,0,0.0,5.294,0,0,0,0,3.542,1.739,0,8.127,0,1,0
275,4.347,3.1896,0,0,0,0,0,33.3,1,2,0,-0.312,3.371,2.565,9.489,4,0.985,1.139,0,0,0,1.195,0,0,0,0,2.015,0.004,0,10.607,4.993,0,0,0,0,3.423,2.282,0,7.952,0,0,0
291,4.0,2.3041,0,0,0,0,0,40.0,0,0,0,0.0,3.301,0.0,9.314,0,0.965,1.125,0,0,0,1.274,1,0,0,0,2.0,0.004,0,0.0,1.244,0,0,0,0,3.237,1.75,0,7.887,0,0,1
0,3.919,2.6909,0,0,0,0,0,31.4,2,0,0,0.0,3.106,2.55,9.002,0,0.96,1.142,0,0,0,1.201,0,0,0,0,1.932,0.011,0,0.0,4.489,0,0,0,0,2.949,1.591,0,7.253,0,0,0
735,4.347,3.0603,0,0,0,0,0,31.0,1,2,0,-0.082,3.192,2.3,9.338,3,0.986,1.143,0,0,0,1.167,0,0,0,0,2.011,0.013,0,10.622,4.098,0,0,0,0,3.357,2.288,0,7.732,0,0,1
917,4.263,3.3475,0,0,2,0,0,25.8,0,1,0,0.0,3.166,2.187,9.533,0,0.983,1.159,0,0,0,1.163,0,0,0,0,2.0,0.013,0,0.0,4.143,0,0,2,0,3.15,1.955,2,7.645,0,0,1
842,3.919,3.1183,0,0,0,0,0,27.6,2,3,0,0.0,3.178,2.55,9.002,1,0.998,1.151,0,0,0,1.116,0,0,0,0,1.932,0.014,0,0.0,4.489,0,0,0,1,3.056,2.318,0,7.456,0,0,0
195,4.347,3.4478,0,0,1,0,0,30.8,1,2,2,-0.193,3.233,2.3,9.338,4,0.998,1.147,0,0,0,1.169,0,0,0,0,2.011,0.014,0,10.535,4.098,0,0,1,1,3.405,2.515,1,7.864,0,0,0
902,3.919,3.2139,0,0,0,0,0,25.9,1,4,0,0.0,3.201,2.55,9.002,0,1.014,1.154,0,0,0,1.091,0,0,0,0,1.932,0.015,0,0.0,4.489,0,0,0,1,3.069,2.5,0,7.529,0,0,0
192,4.263,3.1913,1,0,0,0,0,28.6,0,4,0,-1.68,3.41,2.187,9.533,4,1.038,1.135,0,0,0,1.159,0,0,0,0,2.0,0.015,0,19.933,4.143,0,0,0,2,3.643,3.379,0,8.478,0,0,0
14,3.879,2.5951,0,0,0,0,0,31.0,2,0,0,0.0,2.908,2.281,8.743,0,0.96,1.143,0,0,0,1.202,0,0,0,0,1.902,0.036,0,0.0,3.685,0,0,0,0,2.924,1.611,0,7.029,0,0,0
887,3.879,2.6225,1,0,0,0,0,30.8,2,0,0,0.0,3.142,2.281,8.743,0,0.972,1.142,0,0,0,1.223,0,0,1,0,1.902,0.037,0,0.0,3.685,0,0,0,0,3.542,1.846,0,7.944,0,1,0
840,3.879,2.7312,0,0,2,0,0,28.6,2,0,2,0.0,2.922,2.281,8.743,0,0.966,1.151,0,0,0,1.179,0,0,0,0,1.902,0.038,0,0.0,3.685,0,0,2,1,2.957,1.722,1,7.078,0,0,0
342,4.0,2.2857,0,0,0,0,0,40.0,0,0,0,0.0,2.914,0.0,8.908,0,0.965,1.125,0,0,0,1.295,1,0,0,0,2.0,0.039,0,0.0,0.854,0,0,0,0,3.233,1.75,0,7.482,0,0,1
103,3.879,2.6274,0,0,0,0,0,29.6,2,1,0,0.0,2.938,2.281,8.743,1,0.973,1.146,0,0,0,1.161,0,0,0,0,1.902,0.039,0,0.0,3.685,0,0,0,1,2.936,2.056,0,7.087,0,0,0
184,4.235,2.7848,0,0,0,0,0,29.6,2,1,0,0.0,2.946,1.975,9.118,1,0.973,1.146,0,0,0,1.168,0,0,0,0,1.962,0.039,0,0.0,3.449,0,0,0,1,3.064,2.093,0,7.229,0,0,0
609,3.879,2.8492,0,0,0,0,0,29.6,2,1,0,0.0,2.938,2.281,8.743,2,0.973,1.146,0,0,0,1.169,0,0,0,0,1.902,0.04,0,0.0,3.685,0,0,0,0,2.997,1.833,0,7.135,0,0,1
177,4.362,2.3925,0,0,0,0,0,31.6,0,1,2,0.225,2.93,0.75,9.272,2,0.992,1.147,0,0,0,1.177,1,0,0,0,2.091,0.041,0,10.572,1.017,0,0,2,1,3.355,2.333,1,7.556,0,0,0
202,4.303,3.3317,0,0,0,0,0,34.8,3,1,0,1.559,3.027,1.837,9.389,1,0.979,1.135,0,0,0,1.236,0,0,0,0,2.0,0.042,0,10.396,3.193,0,0,0,0,3.349,2.37,0,7.827,0,0,0
142,4.235,3.0785,0,0,0,0,0,28.0,2,2,0,0.0,2.975,1.975,9.118,2,0.989,1.15,0,0,0,1.137,0,0,0,0,1.962,0.043,0,0.0,3.449,0,0,0,1,3.112,2.315,0,7.316,0,0,0
901,4.303,3.1827,0,0,0,0,0,25.0,2,2,2,0.0,2.996,1.837,9.389,0,0.998,1.159,0,0,0,1.112,0,0,0,0,2.0,0.044,0,0.0,3.193,0,0,2,3,3.139,2.685,1,7.43,0,0,0
240,4.346,3.4572,0,0,0,0,0,33.3,1,2,0,-0.33,3.048,1.975,9.16,4,0.998,1.139,0,0,0,1.181,0,0,0,0,2.0,0.046,0,10.346,3.165,0,0,0,0,3.423,2.63,0,7.73,0,0,0
993,3.879,2.9588,0,0,0,0,0,33.3,0,0,4,0.0,3.091,2.281,8.743,0,0.998,1.152,0,0,0,1.251,0,0,0,0,1.902,0.047,0,0.0,3.685,0,0,4,1,3.271,2.833,3,7.905,0,0,1
319,3.879,3.1116,0,0,0,0,0,26.1,0,3,0,0.0,2.995,2.281,8.743,0,1.007,1.154,0,0,0,1.107,0,0,0,0,1.902,0.047,0,0.0,3.685,0,0,0,0,3.047,2.278,0,7.323,0,0,1
120,4.235,3.3919,0,0,0,0,0,28.6,2,3,0,-0.255,3.039,1.975,9.118,1,1.014,1.149,0,0,0,1.124,0,0,0,0,1.962,0.048,0,10.129,3.449,0,0,0,0,3.35,2.685,0,7.677,0,0,0
870,4.346,3.6387,0,0,0,0,0,31.6,0,3,0,-0.41,3.074,1.975,9.16,3,1.021,1.142,0,0,0,1.153,0,0,0,0,2.0,0.05,0,10.291,3.165,0,0,0,0,3.424,2.852,0,7.785,0,0,0
450,4.0,2.0,0,0,0,0,0,33.3,0,0,0,0.0,2.565,0.0,8.623,0,0.961,1.138,0,0,0,1.167,1,0,0,0,2.0,0.103,0,0.0,0.667,0,0,0,0,3.003,1.5,0,6.76,0,0,1
837,3.802,2.4475,0,0,0,0,0,30.4,2,0,0,0.0,2.661,1.95,8.394,0,0.96,1.144,0,0,0,1.195,0,0,0,0,1.848,0.108,0,0.0,2.885,0,0,0,0,2.881,1.643,0,6.741,0,0,0
266,4.0,2.1142,0,0,0,0,0,29.4,0,0,1,0.0,2.585,0.0,8.623,0,0.972,1.151,0,0,0,1.138,1,0,0,0,2.0,0.112,0,0.0,0.667,0,0,2,1,3.033,1.667,1,6.823,0,0,0
451,4.0,2.2551,0,0,0,0,0,37.5,0,0,0,0.0,2.618,0.0,8.623,0,0.964,1.13,0,0,0,1.226,1,0,0,0,2.0,0.112,0,0.0,0.667,0,0,0,0,3.175,1.667,0,7.081,0,0,1
701,4.0,2.1902,0,0,0,0,0,25.0,0,0,0,0.0,2.605,0.0,8.623,0,0.984,1.166,0,0,0,1.107,1,0,0,0,2.0,0.121,0,0.0,0.667,0,0,4,2,3.061,1.833,2,6.883,0,0,1
689,4.303,3.1007,1,0,0,0,0,41.7,1,0,0,0.0,2.938,0.862,9.067,0,0.977,1.097,0,0,0,1.439,1,0,0,0,2.115,0.125,0,0.0,0.956,0,0,0,0,4.069,1.917,0,8.506,0,0,1
986,4.0,2.2975,0,0,0,0,0,26.7,0,1,0,0.0,2.626,0.0,8.623,0,0.998,1.158,0,0,0,1.095,1,0,0,0,2.0,0.128,0,0.0,0.667,0,0,2,1,3.093,2.0,1,6.951,0,0,1
141,3.802,2.8425,0,0,0,0,0,31.6,2,1,0,0.0,2.746,1.95,8.394,1,0.98,1.142,0,0,0,1.169,0,0,0,0,1.848,0.129,0,0.0,2.885,0,0,0,1,3.104,2.357,0,7.119,0,0,0
278,4.0,3.0,0,0,0,0,0,50.0,0,0,0,0.0,2.72,0.0,8.623,0,0.971,1.104,0,0,0,1.316,1,0,0,0,2.0,0.13,0,0.0,0.667,0,0,0,0,3.452,2.0,0,7.573,0,0,0
543,3.802,2.6771,0,0,2,0,0,20.0,2,0,0,0.0,2.715,1.95,8.394,0,0.986,1.179,0,0,0,1.083,0,0,0,0,1.848,0.131,0,0.0,2.885,0,0,4,5,2.937,2.357,3,6.869,0,0,1
984,4.303,2.6572,1,0,0,0,0,25.0,0,0,0,0.787,2.909,0.862,9.067,0,1.004,1.146,0,0,0,1.3,1,0,0,0,2.115,0.131,0,0.0,0.956,0,0,2,2,3.86,2.222,2,8.216,0,0,1
581,4.0,2.368,0,0,0,0,0,28.6,0,2,0,0.0,2.647,0.0,8.623,0,1.014,1.149,0,0,0,1.083,1,0,0,0,2.0,0.135,0,0.0,0.667,0,0,0,0,3.122,2.167,0,7.015,0,0,1
110,4.334,3.1387,0,0,0,0,0,26.3,2,2,0,0.0,2.746,1.557,8.944,2,0.998,1.153,0,0,0,1.099,0,0,0,0,1.97,0.135,0,0.0,2.195,0,0,0,1,3.114,2.548,0,7.098,0,0,0
546,3.802,2.7037,0,0,1,0,0,21.1,2,1,0,0.0,2.734,1.95,8.394,0,0.997,1.173,0,0,0,1.071,0,0,0,0,1.848,0.136,0,0.0,2.885,0,0,3,4,2.946,2.643,2,6.907,0,0,1
1030,4.228,3.1334,0,0,0,0,0,26.3,3,2,0,0.0,2.746,1.557,8.891,0,0.998,1.153,0,0,0,1.103,0,0,0,0,1.932,0.136,0,0.0,2.535,0,0,0,1,3.105,2.548,0,7.107,0,0,1
220,4.303,2.6696,0,0,0,0,0,33.3,0,2,0,-0.046,2.709,0.862,9.067,2,1.025,1.139,0,0,0,1.166,1,0,0,0,2.115,0.137,0,10.021,0.956,0,0,0,0,3.416,2.778,0,7.481,0,0,0
907,4.0,3.1669,0,0,0,0,0,45.5,0,0,1,0.0,2.737,0.0,8.623,0,0.988,1.121,0,0,0,1.287,1,0,0,0,2.0,0.137,0,0.0,0.667,0,0,2,0,3.482,2.167,1,7.627,0,0,0
349,4.303,3.3382,0,0,0,0,0,33.3,1,0,0,0.0,2.741,0.862,9.067,0,0.998,1.152,0,0,0,1.289,1,0,0,1,2.115,0.137,0,0.0,0.956,0,0,4,1,3.627,2.194,2,7.794,0,0,1
1029,3.802,2.8705,2,0,0,0,0,26.7,2,1,0,0.0,3.2,1.95,8.394,0,1.026,1.145,0,0,0,1.197,0,0,0,0,1.848,0.139,0,0.0,2.885,0,0,0,0,3.57,2.532,0,8.378,0,2,1
538,4.303,3.3609,1,0,0,0,0,30.0,0,0,2,0.0,2.965,0.862,9.067,0,1.016,1.133,0,0,0,1.35,1,0,0,0,2.115,0.139,0,0.0,0.956,0,0,1,2,4.123,2.417,2,8.563,0,0,1
272,3.802,2.7308,0,0,0,0,0,22.2,2,2,0,0.0,2.753,1.95,8.394,0,1.01,1.166,0,0,0,1.058,0,0,0,0,1.848,0.141,0,0.0,2.885,0,0,2,3,2.955,2.929,1,6.944,0,0,0
867,4.228,3.2893,0,0,0,0,0,29.4,2,2,0,-0.193,2.793,1.557,8.891,2,1.004,1.147,0,0,0,1.14,0,0,0,0,1.932,0.142,0,9.98,2.535,0,0,0,0,3.346,2.738,0,7.465,0,0,0
38,4.334,3.6943,0,0,0,0,0,33.3,1,2,0,-0.241,2.838,1.557,8.944,3,1.013,1.139,0,0,0,1.164,0,0,0,0,1.97,0.149,0,10.118,2.195,0,0,0,0,3.39,2.952,0,7.596,0,0,0
578,4.303,3.5568,0,1,0,0,0,20.0,0,0,1,0.0,2.774,0.862,9.067,0,1.041,1.199,0,0,0,1.194,1,0,0,1,2.115,0.15,0,0.0,0.956,0,0,2,3,3.662,2.694,4,7.859,0,0,1
274,4.334,3.6944,0,0,0,0,0,33.3,1,2,0,-0.359,2.838,1.557,8.944,3,1.013,1.139,0,0,0,1.178,0,0,0,0,1.97,0.15,0,10.072,2.195,0,0,0,0,3.421,2.952,0,7.598,0,0,0
264,4.303,2.9763,0,0,0,0,0,30.0,0,3,0,-0.546,2.745,0.862,9.067,2,1.075,1.146,0,0,0,1.101,1,0,0,0,2.115,0.153,0,9.799,0.956,0,0,0,0,3.464,3.111,0,7.565,0,0,0
11,3.618,2.1906,0,0,0,0,0,29.4,2,0,0,0.0,2.333,1.522,7.853,0,0.959,1.147,0,0,0,1.178,0,0,0,0,1.732,0.294,0,0.0,2.094,0,0,0,0,2.794,1.7,0,6.333,0,0,0
721,3.618,2.2995,2,0,0,0,0,27.3,2,0,0,0.0,4.081,1.522,7.853,0,0.999,1.122,0,0,0,1.43,0,1,0,0,1.732,0.319,0,0.0,2.094,0,0,0,0,6.873,2.0,0,12.253,0,2,1
97,4.17,2.607,0,0,0,0,0,25.0,3,0,2,0.0,2.373,0.971,8.597,0,0.97,1.161,0,0,0,1.133,0,0,0,0,1.848,0.322,0,0.0,1.542,0,0,1,2,2.983,2.167,1,6.635,0,0,0
864,3.618,2.2408,0,0,1,0,0,25.0,2,0,1,0.0,2.359,1.522,7.853,0,0.97,1.161,0,0,0,1.133,0,0,0,0,1.732,0.323,0,0.0,2.094,0,0,1,2,2.811,2.1,1,6.385,0,0,0
99,3.618,2.3911,0,0,0,0,0,25.0,2,0,0,0.0,2.359,1.522,7.853,0,0.97,1.161,0,0,0,1.129,0,0,0,0,1.732,0.33,0,0.0,2.094,0,0,2,1,2.848,1.9,1,6.432,0,0,0
831,3.618,2.3247,2,0,0,0,0,27.3,2,0,0,0.0,3.679,1.522,7.853,0,1.008,1.131,0,0,0,1.338,0,1,1,0,1.732,0.336,0,0.0,2.094,0,0,0,0,6.866,2.272,0,11.578,0,2,1
21,4.0,2.3699,0,0,0,0,0,30.0,1,1,0,0.0,2.273,1.0,8.482,0,0.998,1.146,0,0,0,1.09,1,0,0,0,2.17,0.34,0,0.0,1.0,0,0,0,0,3.302,2.083,0,7.174,0,0,0
57,4.17,2.6629,0,0,0,0,0,26.7,3,1,0,0.0,2.4,0.971,8.597,2,0.983,1.152,0,0,0,1.12,0,0,0,0,1.848,0.342,0,0.0,1.542,0,0,0,1,3.0,2.567,0,6.683,0,0,0
895,4.17,2.6683,0,0,0,0,0,26.7,2,1,0,0.0,2.4,0.971,8.597,1,0.983,1.152,0,0,0,1.103,0,0,0,0,1.848,0.343,0,0.0,1.542,0,0,0,1,3.022,2.567,0,6.702,0,0,0
969,4.17,2.7612,2,0,0,0,0,27.3,2,0,0,0.0,3.002,0.971,8.597,0,1.017,1.141,0,0,0,1.28,0,0,1,0,1.848,0.354,0,0.0,1.542,0,0,0,0,3.755,2.611,0,8.35,0,2,1
112,4.17,2.8963,0,0,0,0,0,30.8,2,1,0,0.0,2.466,0.971,8.597,2,0.989,1.144,0,0,0,1.196,0,0,0,0,1.848,0.363,0,9.505,1.542,0,0,0,0,3.18,2.867,0,7.056,0,0,0
843,3.618,2.4524,0,0,0,0,0,30.8,1,1,0,0.0,2.452,1.522,7.853,1,0.989,1.144,0,0,0,1.189,0,0,0,0,1.732,0.363,0,9.405,2.094,0,0,0,0,3.058,2.8,0,6.889,0,0,0
277,4.17,2.9651,0,0,0,0,0,33.3,2,0,2,0.0,2.499,0.971,8.597,0,0.979,1.145,0,0,0,1.271,0,0,0,0,1.848,0.368,0,0.0,1.542,0,0,1,0,3.33,2.767,1,7.322,0,0,0
900,3.618,2.445,0,0,0,0,0,21.4,1,1,0,0.0,2.41,1.522,7.853,0,0.997,1.169,0,0,0,1.079,0,0,0,0,1.732,0.375,0,0.0,2.094,0,0,1,2,2.872,2.7,1,6.534,0,0,0
990,3.618,2.8543,2,0,0,0,0,33.3,1,0,0,0.0,3.029,1.522,7.853,0,1.033,1.126,0,0,0,1.299,0,0,1,0,1.732,0.386,0,0.0,2.094,0,0,0,0,3.71,2.744,0,8.384,0,2,1
757,4.17,3.1822,2,0,0,0,0,20.0,0,0,0,0.532,2.959,0.971,8.597,0,1.002,1.117,0,0,0,1.408,0,0,0,0,1.848,0.387,0,0.0,1.542,0,0,0,1,4.016,2.611,1,8.452,0,0,1
23,4.17,2.8042,0,0,0,0,0,23.1,2,2,0,0.0,2.449,0.971,8.597,1,1.015,1.16,0,0,0,1.044,0,0,0,0,1.848,0.391,0,0.0,1.542,0,0,0,2,3.047,3.367,0,6.782,0,0,0
322,4.17,3.021,1,0,0,0,0,22.2,1,1,0,-0.259,4.279,0.971,8.597,0,1.029,1.14,0,0,0,1.495,0,0,0,0,1.848,0.396,0,9.583,1.542,0,0,1,2,10.692,3.257,1,14.218,0,1,1
741,4.17,3.2655,0,0,0,0,0,25.0,0,1,0,0.0,2.488,0.971,8.597,2,1.007,1.163,0,0,0,1.161,0,0,0,0,1.848,0.397,0,9.431,1.542,0,0,0,0,3.232,3.0,1,7.151,0,0,1
135,4.17,3.3821,0,0,0,0,0,40.0,1,0,2,0.56,2.559,0.971,8.597,0,0.987,1.133,0,0,0,1.332,0,0,0,0,1.848,0.401,0,0.0,1.542,0,0,1,0,3.452,3.033,1,7.564,0,0,0
866,3.618,2.5915,0,0,0,0,0,23.1,1,2,0,0.0,2.435,1.522,7.853,0,1.015,1.16,0,0,0,1.065,0,0,0,0,1.732,0.402,0,0.0,2.094,0,0,0,1,2.919,2.9,0,6.634,0,0,0
599,4.17,3.6942,3,0,0,0,0,33.3,0,0,0,0.09,3.245,0.971,8.597,0,1.123,1.11,0,0,0,1.38,0,0,0,0,1.848,0.414,0,0.0,1.542,0,0,0,0,4.098,3.2,0,8.832,0,3,1
506,4.17,3.3271,1,1,0,0,0,10.0,0,0,0,0.116,2.767,0.971,8.597,0,1.027,1.183,1,0,0,1.193,0,0,0,0,1.848,0.419,0,0.0,1.542,0,0,1,5,3.849,3.167,3,8.14,0,0,1
193,4.17,3.4143,0,0,0,0,0,30.0,0,1,1,-0.481,2.548,0.971,8.597,1,1.02,1.154,0,0,0,1.174,0,0,0,0,1.848,0.425,0,9.472,1.542,0,0,1,2,3.379,3.533,1,7.404,0,0,0
34,4.17,3.4453,0,0,0,0,0,27.3,1,2,0,-0.245,2.512,0.971,8.597,1,1.028,1.151,0,0,0,1.112,0,0,0,0,1.848,0.425,0,9.59,1.542,0,0,0,0,3.337,3.233,0,7.294,0,0,0
224,4.17,3.1898,0,0,0,0,0,20.0,1,2,0,-0.968,2.533,0.971,8.597,0,1.052,1.175,0,0,0,1.032,0,0,0,0,1.848,0.441,0,9.243,1.542,0,0,1,3,3.326,4.033,1,7.273,0,0,0
903,4.17,3.2439,1,0,0,0,0,25.0,1,2,0,-0.98,2.842,0.971,8.597,0,1.093,1.149,0,0,0,1.11,0,0,0,0,1.848,0.442,0,9.236,1.542,0,0,0,1,3.644,4.056,0,8.039,0,1,0
239,4.17,3.5122,0,0,0,0,0,33.3,0,2,0,-0.981,2.57,0.971,8.597,2,1.047,1.139,0,0,0,1.147,0,0,0,0,1.848,0.444,0,9.25,1.542,0,0,0,1,3.396,3.933,0,7.436,0,0,0
133,4.17,3.2723,0,0,0,0,0,22.2,1,3,0,-1.19,2.555,0.971,8.597,0,1.083,1.162,0,0,0,1.018,0,0,0,0,1.848,0.46,0,9.118,1.542,0,0,0,2,3.333,4.433,0,7.299,0,0,0
54,4.17,3.6206,0,0,0,0,0,28.6,0,3,0,-1.426,2.612,0.971,8.597,0,1.124,1.149,0,0,0,1.095,0,0,0,0,1.848,0.481,0,17.905,1.542,0,0,0,1,3.427,4.733,0,7.521,0,0,0
832,3.0,1.7389,1,0,0,0,0,25.0,2,0,0,0.0,3.426,0.918,6.594,0,0.985,1.136,0,0,0,1.383,0,1,0,0,1.414,0.691,0,0.0,1.333,0,0,0,0,6.867,2.083,0,11.561,0,1,1
98,3.0,1.8227,0,0,0,0,0,20.0,0,0,0,0.0,1.883,0.918,6.594,0,0.975,1.174,0,0,0,1.126,0,0,0,0,1.414,0.764,0,0.0,1.333,0,0,0,1,2.642,2.167,1,5.834,0,0,0
720,3.0,1.9184,2,0,0,0,0,20.0,1,0,0,0.0,3.572,0.918,6.594,0,1.064,1.123,0,0,0,1.439,0,1,0,0,1.414,0.803,0,0.0,1.333,0,0,0,0,6.87,2.787,0,11.578,0,2,1
100,3.0,1.8205,0,0,0,0,0,22.2,2,1,0,0.0,1.926,0.918,6.594,0,0.998,1.162,0,0,0,1.06,0,0,0,0,1.414,0.826,0,0.0,1.333,0,0,0,1,2.651,3.167,0,5.86,0,0,0
325,3.0,1.925,0,1,0,0,0,11.1,0,0,0,0.0,1.922,0.918,6.594,0,0.997,1.203,1,0,0,1.033,0,0,0,0,1.414,0.852,0,0.0,1.333,0,0,1,3,2.684,2.833,2,5.93,0,0,1
317,3.0,2.0093,0,0,0,0,0,22.2,0,1,0,0.0,1.926,0.918,6.594,0,0.998,1.162,0,0,0,1.102,0,0,0,0,1.414,0.861,0,0.0,1.333,0,0,0,0,2.731,2.5,0,6.033,0,0,1
719,3.0,1.9808,2,0,0,0,0,20.0,1,0,0,0.0,2.771,0.918,6.594,0,1.083,1.144,0,0,0,1.306,0,0,0,0,1.414,0.87,0,0.0,1.333,0,0,0,0,3.813,3.241,0,8.225,0,2,1
111,3.0,2.311,0,0,0,0,0,28.6,1,1,0,0.0,2.03,0.918,6.594,0,1.014,1.149,0,0,0,1.177,0,0,0,0,1.414,0.903,0,8.806,1.333,0,0,0,0,2.991,3.667,0,6.578,0,0,0
245,3.0,2.5124,0,0,0,0,0,33.3,1,0,0,0.0,2.081,0.918,6.594,0,0.998,1.152,0,0,0,1.303,0,0,0,0,1.414,0.917,0,0.0,1.333,0,0,1,0,3.201,3.5,1,6.984,0,0,0
3,3.0,2.7098,0,0,0,0,0,20.0,0,2,0,0.0,2.1,0.918,6.594,0,1.108,1.167,0,0,0,1.024,0,0,0,0,1.414,1.073,0,8.361,1.333,0,0,0,1,3.046,5.0,0,6.69,0,0,0
