,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,locode,locomment,loblank,locodeandcomment,uniq_op,uniq_opnd,total_op,total_opnd,branchcount,y
241,20.0,2.0,1.0,2.0,54.0,216.0,0.16,6.3,34.29,1360.8,0.07,75.6,14,3,1,0,6.0,10.0,33.0,21.0,3.0,0
253,4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2,0,0,0,3.0,2.0,3.0,2.0,1.0,0
390,6.0,1.0,1.0,1.0,9.0,23.26,0.5,2.0,11.63,46.53,0.01,2.58,4,0,0,0,3.0,3.0,5.0,4.0,1.0,0
472,70.0,11.0,1.0,9.0,175.0,961.07,0.05,20.34,47.25,19547.56,0.32,1085.98,57,4,6,0,17.0,28.0,108.0,67.0,21.0,1
478,63.0,5.0,1.0,4.0,160.0,873.51,0.06,16.57,52.73,14471.13,0.29,803.95,50,1,10,0,14.0,30.0,89.0,71.0,9.0,1
514,8.0,1.0,1.0,1.0,10.0,30.0,0.3,3.33,9.0,100.0,0.01,5.56,4,0,1,0,5.0,3.0,6.0,4.0,1.0,1
468,76.0,10.0,4.0,7.0,184.0,1016.34,0.03,29.4,34.57,29880.26,0.34,1660.01,60,3,9,0,21.0,25.0,114.0,70.0,19.0,1
434,80.0,19.0,9.0,12.0,273.0,1571.08,0.04,25.04,62.74,39340.8,0.52,2185.6,71,0,7,0,17.0,37.0,164.0,109.0,37.0,1
470,36.0,5.0,1.0,2.0,103.0,548.16,0.09,11.07,49.5,6070.35,0.18,337.24,26,0,5,1,13.0,27.0,57.0,46.0,9.0,1
447,57.0,8.0,8.0,8.0,160.0,785.1,0.08,13.07,60.06,10262.41,0.26,570.13,45,4,6,0,9.0,21.0,99.0,61.0,15.0,1
446,59.0,7.0,7.0,5.0,136.0,728.63,0.06,17.28,42.17,12590.68,0.24,699.48,44,2,8,2,16.0,25.0,82.0,54.0,13.0,1
459,46.0,3.0,1.0,2.0,79.0,387.64,0.1,10.42,37.2,4039.66,0.13,224.43,24,12,7,0,11.0,13.0,47.0,29.0,5.0,1
473,35.0,5.0,1.0,4.0,77.0,388.42,0.1,10.08,38.55,3913.31,0.13,217.41,30,0,3,0,13.0,20.0,46.0,31.0,9.0,1
432,275.0,24.0,18.0,21.0,572.0,3731.48,0.02,41.95,88.94,156552.44,1.24,8697.36,195,38,39,1,26.0,66.0,359.0,213.0,47.0,1
